"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia LA MAR (000)",83157,33800,49357
"Casa independiente (001)",73707,32371,41336
"Departamento en edificio (002)",116,116,
"Vivienda en quinta (003)",580,580,
"Vivienda en casa de vecindad (004)",399,399,
"Choza o cabaña (005)",7991,,7991
"Vivienda improvisada (006)",182,182,
"Local no dest.para hab. humana (007)",140,117,23
"Otro tipo (008)",42,35,7
