"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia QUISPICANCHI (000)",26385,21287,2010,1085,2003
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",57,,5,4,48
"Profes., científicos e intelectuales (002)",880,247,188,208,237
"Técnicos de nivel medio y trab. asimilados (003)",422,177,49,42,154
"Jefes y empleados de oficina (004)",376,69,36,49,222
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2144,1925,111,33,75
"Agricult.trabaj.calif.agrop.y pesqueros (006)",9384,8977,396,8,3
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1919,1552,181,65,121
"Obreros construc.,conf.,papel, fab., instr. (008)",2469,1430,328,323,388
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",7616,6195,621,299,501
"Otra (010)",210,,,,210
"Ocupación no especificada (011)",908,715,95,54,44
"Hombres (012)",17818,13740,1550,858,1670
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",43,,4,2,37
"Profes., científicos e intelectuales (014)",502,134,103,114,151
"Técnicos de nivel medio y trab. asimilados (015)",291,104,36,32,119
"Jefes y empleados de oficina (016)",223,38,23,31,131
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",714,578,54,17,65
"Agricult.trabaj.calif.agrop.y pesqueros (018)",7703,7362,332,7,2
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1225,928,127,52,118
"Obreros construc.,conf.,papel, fab., instr. (020)",2355,1353,319,304,379
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",4098,2930,484,256,428
"Otra (022)",202,,,,202
"Ocupación no especificada (023)",462,313,68,43,38
"Mujeres (024)",8567,7547,460,227,333
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",14,,1,2,11
"Profes., científicos e intelectuales (026)",378,113,85,94,86
"Técnicos de nivel medio y trab. asimilados (027)",131,73,13,10,35
"Jefes y empleados de oficina (028)",153,31,13,18,91
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1430,1347,57,16,10
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1681,1615,64,1,1
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",694,624,54,13,3
"Obreros construc.,conf.,papel, fab., instr. (032)",114,77,9,19,9
