"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHACHAPOYAS (000)",13044,48870,9000,33513,4044,15357
"Casa independiente (001)",11503,44194,7503,28954,4000,15240
"Departamento en edificio (002)",97,283,97,283,,
"Vivienda en quinta (003)",223,740,223,740,,
"Vivienda en casa de vecindad (004)",1168,3505,1168,3505,,
"Choza o cabaña (005)",39,110,,,39,110
"Vivienda improvisada (006)",3,17,3,17,,
"Local no dest.para hab. humana (007)",7,14,3,10,4,4
"Otro tipo (008)",4,7,3,4,1,3
