"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CAMANA (000)",50221,2045,4639,5386,4980,9407,8197,12335,3232
"Sabe leer y escribir (001)",45559,,3664,5357,4958,9308,8018,11623,2631
"No sabe leer y escribir (002)",4662,2045,975,29,22,99,179,712,601
"Hombres (004)",26301,1072,2440,2708,2548,4844,4269,6702,1718
"Sabe leer y escribir (005)",24293,,1931,2696,2539,4798,4223,6562,1544
"No sabe leer y escribir (006)",2008,1072,509,12,9,46,46,140,174
"Mujeres (008)",23920,973,2199,2678,2432,4563,3928,5633,1514
"Sabe leer y escribir (009)",21266,,1733,2661,2419,4510,3795,5061,1087
"No sabe leer y escribir (010)",2654,973,466,17,13,53,133,572,427
,,,,,,,,,
"URBANA (012)",42437,1692,3992,4824,4213,7314,6848,10714,2840
"Sabe leer y escribir (013)",38567,,3145,4800,4194,7232,6703,10139,2354
"No sabe leer y escribir (014)",3870,1692,847,24,19,82,145,575,486
"Hombres (016)",21546,904,2097,2408,2090,3530,3401,5645,1471
"Sabe leer y escribir (017)",19883,,1656,2399,2083,3492,3360,5548,1345
"No sabe leer y escribir (018)",1663,904,441,9,7,38,41,97,126
"Mujeres (020)",20891,788,1895,2416,2123,3784,3447,5069,1369
"Sabe leer y escribir (021)",18684,,1489,2401,2111,3740,3343,4591,1009
"No sabe leer y escribir (022)",2207,788,406,15,12,44,104,478,360
,,,,,,,,,
"RURAL (024)",7784,353,647,562,767,2093,1349,1621,392
"Sabe leer y escribir (025)",6992,,519,557,764,2076,1315,1484,277
"No sabe leer y escribir (026)",792,353,128,5,3,17,34,137,115
"Hombres (028)",4755,168,343,300,458,1314,868,1057,247
"Sabe leer y escribir (029)",4410,,275,297,456,1306,863,1014,199
"No sabe leer y escribir (030)",345,168,68,3,2,8,5,43,48
"Mujeres (032)",3029,185,304,262,309,779,481,564,145
"Sabe leer y escribir (033)",2582,,244,260,308,770,452,470,78
"No sabe leer y escribir (034)",447,185,60,2,1,9,29,94,67
