"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia LA UNION (000)",5843,4733,651,252,207
"Hombres (001)",3541,2845,429,145,122
"Mujeres (002)",2302,1888,222,107,85
"De 06 a 14 años (003)",260,239,19,2,
"Hombres (004)",120,110,9,1,
"Mujeres (005)",140,129,10,1,
"De 15 a 29 años (006)",1361,1108,158,47,48
"Hombres (007)",848,680,108,30,30
"Mujeres (008)",513,428,50,17,18
"De 30 a 44 años (009)",2015,1515,242,140,118
"Hombres (010)",1167,876,155,72,64
"Mujeres (011)",848,639,87,68,54
"De 45 a 64 años (012)",1564,1290,176,62,36
"Hombres (013)",1012,820,126,42,24
"Mujeres (014)",552,470,50,20,12
"De 65 y más años (015)",643,581,56,1,5
"Hombres (016)",394,359,31,,4
"Mujeres (017)",249,222,25,1,1
,,,,,
"URBANA (018)",2924,2216,317,216,175
"Hombres (019)",1673,1253,200,118,102
"Mujeres (020)",1251,963,117,98,73
"De 06 a 14 años (021)",165,150,15,,
"Hombres (022)",75,68,7,,
"Mujeres (023)",90,82,8,,
"De 15 a 29 años (024)",705,545,82,36,42
"Hombres (025)",426,322,55,22,27
"Mujeres (026)",279,223,27,14,15
"De 30 a 44 años (027)",1056,717,112,125,102
"Hombres (028)",574,386,72,61,55
"Mujeres (029)",482,331,40,64,47
"De 45 a 64 años (030)",723,563,79,55,26
"Hombres (031)",442,342,49,35,16
"Mujeres (032)",281,221,30,20,10
"De 65 y más años (033)",275,241,29,,5
"Hombres (034)",156,135,17,,4
"Mujeres (035)",119,106,12,,1
,,,,,
"RURAL (036)",2919,2517,334,36,32
"Hombres (037)",1868,1592,229,27,20
"Mujeres (038)",1051,925,105,9,12
"De 06 a 14 años (039)",95,89,4,2,
"Hombres (040)",45,42,2,1,
"Mujeres (041)",50,47,2,1,
"De 15 a 29 años (042)",656,563,76,11,6
"Hombres (043)",422,358,53,8,3
"Mujeres (044)",234,205,23,3,3
"De 30 a 44 años (045)",959,798,130,15,16
"Hombres (046)",593,490,83,11,9
"Mujeres (047)",366,308,47,4,7
"De 45 a 64 años (048)",841,727,97,7,10
"Hombres (049)",570,478,77,7,8
"Mujeres (050)",271,249,20,,2
"De 65 y más años (051)",368,340,27,1,
"Hombres (052)",238,224,14,,
"Mujeres (053)",130,116,13,1,
