"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AZANGARO (000)",39030,33823,2234,1328,1645
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",86,1,8,6,71
"Profes., científicos e intelectuales (002)",2248,644,596,707,301
"Técnicos de nivel medio y trab. asimilados (003)",376,141,33,32,170
"Jefes y empleados de oficina (004)",604,59,33,38,474
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2327,2138,107,17,65
"Agricult.trabaj.calif.agrop.y pesqueros (006)",14021,13665,354,2,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1832,1302,249,179,102
"Obreros construc.,conf.,papel, fab., instr. (008)",1539,1136,196,101,106
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",15230,14135,622,212,261
"Otra (010)",80,,,,80
"Ocupación no especificada (011)",687,602,36,34,15
"Hombres (012)",23145,19127,1687,1094,1237
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",69,,7,5,57
"Profes., científicos e intelectuales (014)",1629,407,463,538,221
"Técnicos de nivel medio y trab. asimilados (015)",273,111,29,29,104
"Jefes y empleados de oficina (016)",391,39,21,28,303
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",821,713,54,10,44
"Agricult.trabaj.calif.agrop.y pesqueros (018)",10074,9795,278,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1436,943,217,174,102
"Obreros construc.,conf.,papel, fab., instr. (020)",1511,1116,192,99,104
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",6567,5765,403,182,217
"Otra (022)",75,,,,75
"Ocupación no especificada (023)",299,238,23,28,10
"Mujeres (024)",15885,14696,547,234,408
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",17,1,1,1,14
"Profes., científicos e intelectuales (026)",619,237,133,169,80
"Técnicos de nivel medio y trab. asimilados (027)",103,30,4,3,66
"Jefes y empleados de oficina (028)",213,20,12,10,171
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1506,1425,53,7,21
"Agricult.trabaj.calif.agrop.y pesqueros (030)",3947,3870,76,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",396,359,32,5,
"Obreros construc.,conf.,papel, fab., instr. (032)",28,20,4,2,2
