"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ILO (000)",24911,46724,44083,,888,94.3,1.9
"De 12 a 14 años (001)",1769,20,19,,1,95,5
"De 15 a 19 años (002)",2659,307,304,79,99,25.7,
"De 20 a 24 años (003)",2744,1572,1544,228,98.2,14.5,
"De 25 a 29 años (004)",3023,3183,3124,226,98.1,7.1,
"De 30 a 34 años (005)",2864,4570,4494,194,98.3,4.2,
"De 35 a 39 años (006)",2672,5553,5397,118,97.2,2.1,
"De 40 a 44 años (007)",2167,5199,4996,37,96.1,0.7,
"De 45 a 49 años (008)",1857,5151,4931,5,95.7,0.1,
"De 50 y más años (009)",5156,21169,19274,,91,,
"Conviviente (010)",5759,11599,11192,514,96.5,4.4,
"De 12 a 14 años (011)",18,9,8,1,88.9,11.1,
"De 15 a 19 años (012)",275,182,180,53,98.9,29.1,
"De 20 a 24 años (013)",980,1007,987,154,98,15.3,
"De 25 a 29 años (014)",1234,1763,1731,138,98.2,7.8,
"De 30 a 34 años (015)",1080,2009,1981,96,98.6,4.8,
"De 35 a 39 años (016)",803,1918,1864,50,97.2,2.6,
"De 40 a 44 años (017)",505,1415,1358,19,96,1.3,
"De 45 a 49 años (018)",376,1194,1135,3,95.1,0.3,
"De 50 y más años (019)",488,2102,1948,,92.7,,
"Separado(a) (020)",1329,3543,3344,44,94.4,1.2,
"De 12 a 14 años (021)",4,2,2,,100,,
"De 15 a 19 años (022)",30,18,18,4,100,22.2,
"De 20 a 24 años (023)",82,91,91,12,100,13.2,
"De 25 a 29 años (024)",122,174,170,7,97.7,4,
"De 30 a 34 años (025)",183,336,321,9,95.5,2.7,
"De 35 a 39 años (026)",212,470,458,8,97.4,1.7,
"De 40 a 44 años (027)",191,490,479,4,97.8,0.8,
"De 45 a 49 años (028)",155,483,453,,93.8,,
"De 50 y más años (029)",350,1479,1352,,91.4,,
"Casado(a) (030)",8474,24148,22807,253,94.4,1,
"De 12 a 14 años (031)",4,2,2,,100,,
"De 15 a 19 años (032)",38,37,37,5,100,13.5,
"De 20 a 24 años (033)",242,238,232,32,97.5,13.4,
"De 25 a 29 años (034)",685,952,937,73,98.4,7.7,
"De 30 a 34 años (035)",1027,1878,1848,75,98.4,4,
"De 35 a 39 años (036)",1194,2689,2612,53,97.1,2,
