"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PAUCARTAMBO (000)",15491,3478,79,8304,2846,171,325,71,217
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",27,,,5,12,3,1,4,2
"Profes., científicos e intelectuales (002)",387,,,,17,35,175,10,150
"Técnicos de nivel medio ytrab.asimilados (003)",108,3,,6,29,12,42,4,12
"Jefes y empleados de oficina (004)",101,,,6,39,15,19,8,14
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",670,76,4,261,263,15,27,8,16
"Agricult.trabaj. calif.agrop. y pesquros (006)",7784,1729,35,4913,1051,18,16,12,10
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",651,204,3,294,135,10,5,,
"Obreros. construc., conf., papel, fab., instr (008)",527,18,,209,271,12,10,6,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",4982,1396,37,2514,967,38,19,6,5
"Otra (010)",43,,,,11,8,9,11,4
"Ocupación no especificada (011)",211,52,,96,51,5,2,2,3
"Hombres (012)",10432,1542,31,6094,2276,127,181,58,123
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",24,,,5,11,2,1,3,2
"Profes., científicos e intelectuales (014)",182,,,,6,20,82,4,70
"Técnicos de nivel medio ytrab.asimilados (015)",66,,,3,22,6,23,3,9
"Jefes y empleados de oficina (016)",70,,,2,29,13,9,7,10
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",221,7,1,69,110,5,12,6,11
"Agricult.trabaj. calif.agrop. y pesquros (018)",6904,1272,22,4573,985,17,14,12,9
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",242,17,,93,117,10,5,,
"Obreros. construc., conf., papel, fab., instr (020)",509,12,,202,266,12,10,6,1
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",2090,217,8,1115,692,31,16,6,5
"Otra (022)",43,,,,11,8,9,11,4
"Ocupación no especificada (023)",81,17,,32,27,3,,,2
"Mujeres (024)",5059,1936,48,2210,570,44,144,13,94
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",3,,,,1,1,,1,
"Profes., científicos e intelectuales (026)",205,,,,11,15,93,6,80
"Técnicos de nivel medio ytrab.asimilados (027)",42,3,,3,7,6,19,1,3
"Jefes y empleados de oficina (028)",31,,,4,10,2,10,1,4
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",449,69,3,192,153,10,15,2,5
"Agricult.trabaj. calif.agrop. y pesquros (030)",880,457,13,340,66,1,2,,1
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",409,187,3,201,18,,,,
"Obreros. construc., conf., papel, fab., instr (032)",18,6,,7,5,,,,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",2892,1179,29,1399,275,7,3,,
"Ocupación no especificada (035)",130,35,,64,24,2,2,2,1
,,,,,,,,,
"URBANA (036)",2938,256,14,1041,1034,123,258,50,162
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",17,,,2,8,2,,3,2
"Profes., científicos e intelectuales (038)",289,,,,6,21,144,9,109
