"CUADRO Nº 34: POBLACIÓN DESOCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia LA UNION (000)",108,4,50,28,20,6
"Sin nivel (001)",16,,2,4,6,4
"Primaria (003)",38,3,16,11,7,1
"Secundaria (004)",28,1,18,6,2,1
"Superior no univ. incompleta (005)",5,,4,1,,
"Superior no univ. completa (006)",10,,6,2,2,
"Superior univ. incompleta (007)",3,,2,1,,
"Superior univ. completa (008)",8,,2,3,3,
"Hombres (010)",79,2,36,24,14,3
"Sin nivel (011)",10,,2,3,4,1
"Primaria (013)",27,2,10,8,6,1
"Secundaria (014)",23,,14,6,2,1
"Superior no univ. incompleta (015)",4,,3,1,,
"Superior no univ. completa (016)",6,,4,2,,
"Superior univ. incompleta (017)",3,,2,1,,
"Superior univ. completa (018)",6,,1,3,2,
"Mujeres (020)",29,2,14,4,6,3
"Sin nivel (021)",6,,,1,2,3
"Primaria (023)",11,1,6,3,1,
"Secundaria (024)",5,1,4,,,
"Superior no univ. incompleta (025)",1,,1,,,
"Superior no univ. completa (026)",4,,2,,2,
"Superior univ. completa (028)",2,,1,,1,
,,,,,,
"Area Urbana (030)",74,1,33,20,14,6
"Sin nivel (031)",13,,1,4,4,4
"Primaria (033)",20,,9,7,3,1
"Secundaria (034)",21,1,12,5,2,1
"Superior no univ. incompleta (035)",4,,3,1,,
"Superior no univ. completa (036)",9,,5,2,2,
"Superior univ. incompleta (037)",2,,2,,,
"Superior univ. completa (038)",5,,1,1,3,
"Hombres (040)",50,,22,17,8,3
"Sin nivel (041)",7,,1,3,2,1
"Primaria (043)",13,,5,5,2,1
"Secundaria (044)",17,,9,5,2,1
"Superior no univ. incompleta (045)",3,,2,1,,
"Superior no univ. completa (046)",5,,3,2,,
"Superior univ. incompleta (047)",2,,2,,,
"Superior univ. completa (048)",3,,,1,2,
"Mujeres (050)",24,1,11,3,6,3
"Sin nivel (051)",6,,,1,2,3
"Primaria (053)",7,,4,2,1,
"Secundaria (054)",4,1,3,,,
"Superior no univ. incompleta (055)",1,,1,,,
"Superior no univ. completa (056)",4,,2,,2,
"Superior univ. completa (058)",2,,1,,1,
,,,,,,
"Area Rural (060)",34,3,17,8,6,
"Sin nivel (061)",3,,1,,2,
"Primaria (063)",18,3,7,4,4,
"Secundaria (064)",7,,6,1,,
"Superior no univ. incompleta (065)",1,,1,,,
"Superior no univ. completa (066)",1,,1,,,
"Superior univ. incompleta (067)",1,,,1,,
"Superior univ. completa (068)",3,,1,2,,
"Hombres (070)",29,2,14,7,6,
"Sin nivel (071)",3,,1,,2,
"Primaria (073)",14,2,5,3,4,
"Secundaria (074)",6,,5,1,,
"Superior no univ. incompleta (075)",1,,1,,,
"Superior no univ. completa (076)",1,,1,,,
"Superior univ. incompleta (077)",1,,,1,,
"Superior univ. completa (078)",3,,1,2,,
"Mujeres (080)",5,1,3,1,,
"Primaria (083)",4,1,2,1,,
"Secundaria (084)",1,,1,,,
