"CUADRO Nº 3: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia MARAÑON (000)",8605,8401,2463,929,890,758,1318,983,621,439,204,27318
"De 12 a 14 años (001)",1094,1088,1083,3,2,,,,,,6,7
"De 15 a 19 años (002)",1259,1238,985,221,29,2,1,,,,21,289
"De 20 a 24 años (003)",981,911,179,364,275,72,16,5,,,70,1230
"De 25 a 29 años (004)",840,793,58,150,219,202,143,19,2,,47,1944
"De 30 a 34 años (005)",798,780,26,79,143,148,262,110,11,1,18,2766
"De 35 a 39 años (006)",784,776,14,27,76,121,272,190,64,12,8,3648
"De 40 a 44 años (007)",580,577,15,17,29,58,153,165,98,42,3,3276
"De 45 a 49 años (008)",524,521,9,15,28,37,132,128,100,72,3,3230
"De 50 y más años (009)",1745,1717,94,53,89,118,339,366,346,312,28,10928
"PEA (010)",916,872,201,132,121,110,144,83,47,34,44,2651
"De 12 a 14 años (011)",15,15,15,,,,,,,,,
"De 15 a 19 años (012)",105,104,86,17,1,,,,,,1,19
"De 20 a 24 años (013)",119,103,39,34,24,3,3,,,,16,103
"De 25 a 29 años (014)",118,103,31,28,21,13,9,1,,,15,152
"De 30 a 34 años (015)",127,120,10,31,28,20,22,8,1,,7,304
"De 35 a 39 años (016)",134,132,4,8,26,32,39,21,2,,2,478
"De 40 a 44 años (017)",67,66,2,5,4,14,21,12,7,1,1,298
"De 45 a 49 años (018)",62,62,,1,8,6,19,17,7,4,,324
"De 50 y más años (019)",169,167,14,8,9,22,31,24,30,29,2,973
"Ocupada (020)",875,833,178,129,118,106,141,80,47,34,42,2599
"De 12 a 14 años (021)",13,13,13,,,,,,,,,
"De 15 a 19 años (022)",94,93,75,17,1,,,,,,1,19
"De 20 a 24 años (023)",109,94,33,32,23,3,3,,,,15,99
