"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUALLAGA (000)",9304,336,3097,3166,2139,566
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",16,,2,5,7,2
"Profes., científicos e intelectuales (002)",409,,62,214,129,4
"Técnicos de nivel medio y trab. asimilados (003)",141,,36,71,29,5
"Jefes y empleados de oficina (004)",126,,33,58,34,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",477,6,101,211,127,32
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4488,45,1244,1617,1193,389
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",215,2,59,81,61,12
"Obreros construc., conf., papel, fab., instr. (008)",301,,79,138,80,4
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",2913,283,1393,698,436,103
"Otra (010)",28,,10,17,1,
"Ocupación no especificada (011)",190,,78,56,42,14
"Hombres (012)",7257,262,2448,2417,1670,460
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",14,,2,4,7,1
"Profes., científicos e intelectuales (014)",220,,25,111,80,4
"Técnicos de nivel medio y trab. asimilados (015)",74,,25,32,15,2
"Jefes y empleados de oficina (016)",56,,12,25,19,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",222,3,47,89,67,16
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4234,37,1166,1545,1122,364
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",182,2,54,70,46,10
"Obreros construc., conf., papel, fab., instr. (020)",299,,77,138,80,4
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1880,220,1016,373,219,52
"Otra (022)",26,,9,16,1,
"Ocupación no especificada (023)",50,,15,14,14,7
"Mujeres (024)",2047,74,649,749,469,106
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",2,,,1,,1
"Profes., científicos e intelectuales (026)",189,,37,103,49,
"Técnicos de nivel medio y trab. asimilados (027)",67,,11,39,14,3
"Jefes y empleados de oficina (028)",70,,21,33,15,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",255,3,54,122,60,16
"Agricult. trabaj. calif.agrop. y pesqueros (030)",254,8,78,72,71,25
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",33,,5,11,15,2
"Obreros construc., conf., papel, fab., instr. (032)",2,,2,,,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1033,63,377,325,217,51
"Otra (034)",2,,1,1,,
