"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia REQUENA (000)",20286,19703,5495,2273,2325,1835,2874,2011,1496,1394,583,66784
"De 12 a 14 años (001)",2656,2619,2583,32,4,,,,,,37,40
"De 15 a 19 años (002)",3476,3333,2210,811,268,39,5,,,,143,1484
"De 20 a 24 años (003)",2627,2449,370,762,768,386,149,14,,,178,4179
"De 25 a 29 años (004)",2233,2141,134,300,564,510,551,77,5,,92,5849
"De 30 a 34 años (005)",1891,1856,57,146,321,375,625,261,64,7,35,6930
"De 35 a 39 años (006)",1772,1750,40,72,165,218,599,424,177,55,22,8561
"De 40 a 44 años (007)",1365,1352,27,41,94,111,364,364,233,118,13,7806
"De 45 a 49 años (008)",1135,1132,19,30,54,80,205,276,277,191,3,7580
"De 50 y más años (009)",3131,3071,55,79,87,116,376,595,740,1023,60,24355
"Sin nivel (010)",930,903,80,35,31,37,110,143,182,285,27,6533
"De 12 a 14 años (011)",28,28,26,2,,,,,,,,2
"De 15 a 19 años (012)",36,34,20,8,5,1,,,,,2,21
"De 20 a 24 años (013)",37,29,10,5,7,2,5,,,,8,47
"De 25 a 29 años (014)",44,41,4,4,5,5,17,6,,,3,142
"De 30 a 34 años (015)",35,34,1,,3,3,9,9,6,3,1,196
"De 35 a 39 años (016)",60,58,,1,1,2,8,22,13,11,2,418
"De 40 a 44 años (017)",40,40,2,2,,2,7,6,14,7,,278
"De 45 a 49 años (018)",42,42,1,,1,2,5,9,9,15,,340
"De 50 y más años (019)",608,597,16,13,9,20,59,91,140,249,11,5089
"Educacion Inicial (020)",15,13,2,,2,3,5,1,,,2,43
"De 12 a 14 años (021)",1,1,1,,,,,,,,,
"De 15 a 19 años (022)",4,3,1,,,2,,,,,1,6
