"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia MARISCAL NIETO (000)",31645,284,8760,12235,8452,1914
"Agric., ganadería, caza y silvicultura (001)",6804,73,1393,1988,2195,1155
"Pesca (002)",27,,11,7,9,
"Explotación de minas y canteras (003)",933,,137,336,432,28
"Industrias manufactureras (004)",976,7,309,349,256,55
"Suministro de electricidad, gas y agua (005)",117,,28,54,29,6
"Construcción (006)",3247,3,971,1461,732,80
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",4551,91,1280,1588,1317,275
"Venta, mant.y rep. veh.autom.y motoc. (008)",583,2,236,188,139,18
"Comercio al por mayor (009)",142,3,48,49,30,12
"Comercio al por menor (010)",3826,86,996,1351,1148,245
"Hoteles y restaurantes (011)",1340,25,423,440,395,57
"Trans., almac. y comunicaciones (012)",1821,52,661,631,437,40
"Intermediación financiera (013)",133,,64,47,21,1
"Activid.inmobil., empres. y alquileres (014)",1607,1,543,723,319,21
"Admin.pub. y defensa; p. segur.soc.afil (015)",4295,,1391,1889,963,52
"Enseñanza (016)",2189,,344,1274,555,16
"Servicios sociales y de salud (017)",794,,128,398,250,18
"Otras activ. serv.comun.soc y personales (018)",645,8,263,212,127,35
"Hogares privados con servicio doméstico (019)",509,14,257,147,76,15
"Actividad economica no especificada (021)",1657,10,557,691,339,60
"Hombres (022)",19464,169,5247,7374,5373,1301
"Agric., ganadería, caza y silvicultura (023)",4167,49,870,1140,1331,777
"Pesca (024)",23,,7,7,9,
"Explotación de minas y canteras (025)",904,,127,326,423,28
"Industrias manufactureras (026)",745,6,258,254,180,47
"Suministro de electricidad, gas y agua (027)",104,,26,44,28,6
"Construcción (028)",2983,2,864,1341,698,78
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1830,49,578,559,495,149
"Venta, mant.y rep. veh.autom.y motoc. (030)",531,2,207,175,130,17
"Comercio al por mayor (031)",66,2,24,21,9,10
"Comercio al por menor (032)",1233,45,347,363,356,122
"Hoteles y restaurantes (033)",334,9,132,83,85,25
"Trans., almac. y comunicaciones (034)",1587,42,542,550,413,40
"Intermediación financiera (035)",73,,34,23,15,1
"Activid.inmobil., empres. y alquileres (036)",1128,1,356,503,248,20
"Admin.pub. y defensa; p. segur.soc.afil (037)",3159,,910,1438,762,49
"Enseñanza (038)",846,,105,453,279,9
"Servicios sociales y de salud (039)",258,,29,125,92,12
