"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia CHICLAYO (000)",321685,278830,42855
"De 3 a 5 años (001)",41196,5576,35620
"De 6 a 11 años (002)",86021,80936,5085
"De 12 a 16 años (003)",78880,78061,819
"De 17 a 24 años (004)",115588,114257,1331
"Hombres (005)",159332,137528,21804
"De 3 a 5 años (006)",20873,2788,18085
"De 6 a 11 años (007)",43627,40926,2701
"De 12 a 16 años (008)",39169,38756,413
"De 17 a 24 años (009)",55663,55058,605
"Mujeres (010)",162353,141302,21051
"De 3 a 5 años (011)",20323,2788,17535
"De 6 a 11 años (012)",42394,40010,2384
"De 12 a 16 años (013)",39711,39305,406
"De 17 a 24 años (014)",59925,59199,726
,,,
"URBANA (015)",299589,260500,39089
"De 3 a 5 años (016)",38031,5283,32748
"De 6 a 11 años (017)",79892,75377,4515
"De 12 a 16 años (018)",73133,72418,715
"De 17 a 24 años (019)",108533,107422,1111
"Hombres (020)",147893,128025,19868
"De 3 a 5 años (021)",19249,2645,16604
"De 6 a 11 años (022)",40448,38054,2394
"De 12 a 16 años (023)",36177,35813,364
"De 17 a 24 años (024)",52019,51513,506
"Mujeres (025)",151696,132475,19221
"De 3 a 5 años (026)",18782,2638,16144
"De 6 a 11 años (027)",39444,37323,2121
"De 12 a 16 años (028)",36956,36605,351
"De 17 a 24 años (029)",56514,55909,605
,,,
"RURAL (030)",22096,18330,3766
"De 3 a 5 años (031)",3165,293,2872
"De 6 a 11 años (032)",6129,5559,570
"De 12 a 16 años (033)",5747,5643,104
"De 17 a 24 años (034)",7055,6835,220
"Hombres (035)",11439,9503,1936
"De 3 a 5 años (036)",1624,143,1481
"De 6 a 11 años (037)",3179,2872,307
"De 12 a 16 años (038)",2992,2943,49
"De 17 a 24 años (039)",3644,3545,99
"Mujeres (040)",10657,8827,1830
"De 3 a 5 años (041)",1541,150,1391
"De 6 a 11 años (042)",2950,2687,263
"De 12 a 16 años (043)",2755,2700,55
"De 17 a 24 años (044)",3411,3290,121
