"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia AYABACA (000)",35768,32579,1596,554,1039
"Hombres (001)",30891,28642,1230,329,690
"Mujeres (002)",4877,3937,366,225,349
"De 06 a 14 años (003)",880,854,24,2,
"Hombres (004)",737,714,21,2,
"Mujeres (005)",143,140,3,,
"De 15 a 29 años (006)",11667,10673,519,138,337
"Hombres (007)",10156,9407,425,93,231
"Mujeres (008)",1511,1266,94,45,106
"De 30 a 44 años (009)",10790,9436,625,251,478
"Hombres (010)",9098,8233,452,124,289
"Mujeres (011)",1692,1203,173,127,189
"De 45 a 64 años (012)",8905,8158,375,158,214
"Hombres (013)",7696,7144,286,106,160
"Mujeres (014)",1209,1014,89,52,54
"De 65 y más años (015)",3526,3458,53,5,10
"Hombres (016)",3204,3144,46,4,10
"Mujeres (017)",322,314,7,1,
,,,,,
"URBANA (018)",5694,4063,575,371,685
"Hombres (019)",3660,2630,370,201,459
"Mujeres (020)",2034,1433,205,170,226
"De 06 a 14 años (021)",122,113,8,1,
"Hombres (022)",71,63,7,1,
"Mujeres (023)",51,50,1,,
"De 15 a 29 años (024)",1641,1190,149,67,235
"Hombres (025)",1034,735,99,39,161
"Mujeres (026)",607,455,50,28,74
"De 30 a 44 años (027)",2081,1338,255,185,303
"Hombres (028)",1283,848,163,85,187
"Mujeres (029)",798,490,92,100,116
"De 45 a 64 años (030)",1495,1088,148,115,144
"Hombres (031)",986,714,90,74,108
"Mujeres (032)",509,374,58,41,36
"De 65 y más años (033)",355,334,15,3,3
"Hombres (034)",286,270,11,2,3
"Mujeres (035)",69,64,4,1,
,,,,,
"RURAL (036)",30074,28516,1021,183,354
"Hombres (037)",27231,26012,860,128,231
"Mujeres (038)",2843,2504,161,55,123
"De 06 a 14 años (039)",758,741,16,1,
"Hombres (040)",666,651,14,1,
"Mujeres (041)",92,90,2,,
"De 15 a 29 años (042)",10026,9483,370,71,102
"Hombres (043)",9122,8672,326,54,70
"Mujeres (044)",904,811,44,17,32
"De 30 a 44 años (045)",8709,8098,370,66,175
"Hombres (046)",7815,7385,289,39,102
"Mujeres (047)",894,713,81,27,73
"De 45 a 64 años (048)",7410,7070,227,43,70
"Hombres (049)",6710,6430,196,32,52
"Mujeres (050)",700,640,31,11,18
"De 65 y más años (051)",3171,3124,38,2,7
"Hombres (052)",2918,2874,35,2,7
"Mujeres (053)",253,250,3,,
