"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia ACOBAMBA (000)",15213,1297,1636,7636,111,4458,75
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",23,23,,,,,
"Profes., científicos e intelectuales (002)",729,666,,49,4,10,
"Técnicos de nivel medio y trab. asimilados (003)",178,125,,44,6,3,
"Jefes y empleados de oficina (004)",184,183,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",807,85,1,623,3,95,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",6123,,,6022,81,20,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",202,,43,134,12,13,
"Obreros construc.,conf., papel, fab., instr. (008)",325,42,121,154,3,5,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",6148,69,1430,338,,4236,75
"Otra (010)",26,26,,,,,
"Ocupación no especificada (011)",468,78,41,271,2,76,
"Hombres (012)",10294,793,1211,5862,87,2327,14
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",20,20,,,,,
"Profes., científicos e intelectuales (014)",424,385,,29,3,7,
"Técnicos de nivel medio y trab. asimilados (015)",127,87,,34,3,3,
"Jefes y empleados de oficina (016)",127,126,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",363,41,,301,3,18,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",5055,,,4972,64,19,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",165,,37,106,11,11,
"Obreros construc.,conf., papel, fab., instr. (020)",319,42,121,149,3,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",3466,28,1027,156,,2241,14
"Otra (022)",24,24,,,,,
"Ocupación no especificada (023)",204,40,26,114,,24,
"Mujeres (024)",4919,504,425,1774,24,2131,61
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",3,3,,,,,
"Profes., científicos e intelectuales (026)",305,281,,20,1,3,
"Técnicos de nivel medio y trab. asimilados (027)",51,38,,10,3,,
"Jefes y empleados de oficina (028)",57,57,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",444,44,1,322,,77,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1068,,,1050,17,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",37,,6,28,1,2,
"Obreros construc.,conf., papel, fab., instr. (032)",6,,,5,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",2682,41,403,182,,1995,61
"Otra (034)",2,2,,,,,
"Ocupación no especificada (035)",264,38,15,157,2,52,
,,,,,,,
"URBANA (036)",4892,980,685,2436,57,687,47
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",16,16,,,,,
"Profes., científicos e intelectuales (038)",576,532,,34,3,7,
"Técnicos de nivel medio y trab. asimilados (039)",135,89,,41,5,,
"Jefes y empleados de oficina (040)",139,138,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",617,50,1,487,3,76,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",1395,,,1354,38,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",142,,29,100,5,8,
"Obreros construc.,conf., papel, fab., instr. (044)",210,25,77,104,3,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",1461,52,555,234,,573,47
"Otra (046)",25,25,,,,,
"Ocupación no especificada (047)",176,53,23,81,,19,
"Hombres (048)",3055,574,521,1598,43,311,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",15,15,,,,,
"Profes., científicos e intelectuales (050)",319,294,,18,2,5,
"Técnicos de nivel medio y trab. asimilados (051)",94,60,,32,2,,
"Jefes y empleados de oficina (052)",86,85,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",250,23,,213,3,11,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1072,,,1040,29,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",116,,25,81,4,6,
"Obreros construc.,conf., papel, fab., instr. (056)",207,25,77,101,3,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",798,22,402,86,,280,8
"Otra (058)",23,23,,,,,
"Ocupación no especificada (059)",75,27,17,26,,5,
"Mujeres (060)",1837,406,164,838,14,376,39
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",1,1,,,,,
"Profes., científicos e intelectuales (062)",257,238,,16,1,2,
"Técnicos de nivel medio y trab. asimilados (063)",41,29,,9,3,,
"Jefes y empleados de oficina (064)",53,53,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",367,27,1,274,,65,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",323,,,314,9,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",26,,4,19,1,2,
"Obreros construc.,conf., papel, fab., instr. (068)",3,,,3,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",663,30,153,148,,293,39
"Otra (070)",2,2,,,,,
"Ocupación no especificada (071)",101,26,6,55,,14,
,,,,,,,
"RURAL (072)",10321,317,951,5200,54,3771,28
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",7,7,,,,,
"Profes., científicos e intelectuales (074)",153,134,,15,1,3,
"Técnicos de nivel medio y trab. asimilados (075)",43,36,,3,1,3,
"Jefes y empleados de oficina (076)",45,45,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",190,35,,136,,19,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",4728,,,4668,43,17,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",60,,14,34,7,5,
"Obreros construc.,conf., papel, fab., instr. (080)",115,17,44,50,,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4687,17,875,104,,3663,28
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",292,25,18,190,2,57,
"Hombres (084)",7239,219,690,4264,44,2016,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",5,5,,,,,
"Profes., científicos e intelectuales (086)",105,91,,11,1,2,
"Técnicos de nivel medio y trab. asimilados (087)",33,27,,2,1,3,
"Jefes y empleados de oficina (088)",41,41,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",113,18,,88,,7,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3983,,,3932,35,16,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",49,,12,25,7,5,
"Obreros construc.,conf., papel, fab., instr. (092)",112,17,44,48,,3,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2668,6,625,70,,1961,6
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",129,13,9,88,,19,
"Mujeres (096)",3082,98,261,936,10,1755,22
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",48,43,,4,,1,
"Técnicos de nivel medio y trab. asimilados (099)",10,9,,1,,,
