"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARMEY (000)",27279,20609,6670
"Casa independiente (001)",26268,19981,6287
"Departamento en edificio (002)",58,58,
"Vivienda en quinta (003)",212,212,
"Vivienda en casa de vecindad (004)",175,175,
"Choza o cabaña (005)",382,,382
"Vivienda improvisada (006)",157,157,
"Local no dest.para hab. humana (007)",27,26,1
