"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia HUANCAYO (000)",180744,2756,59948,64786,44766,8488
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",422,,32,171,197,22
"Profes., científicos e intelectuales (002)",25997,,5680,12544,7365,408
"Técnicos de nivel medio y trab.asimilados (003)",11009,15,4349,4130,2290,225
"Jefes y empleados de oficina (004)",7346,,3132,2595,1562,57
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",32800,386,11206,11513,8143,1552
"Agricult.trabaj. calif. agrop. y pesqueros (006)",13970,61,2297,4167,4986,2459
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",17574,193,6924,5781,3980,696
"Obreros construc., conf., papel, fab., instr. (008)",18136,71,5927,7273,4378,487
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",40435,1873,14399,12411,9592,2160
"Otra (010)",1278,,305,687,284,2
"Ocupación no especificada (011)",3222,66,1178,1037,727,214
"Desocupado (012)",8555,91,4519,2477,1262,206
"Hombres (013)",105217,1644,34491,36941,26628,5513
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",311,,26,124,145,16
"Profes., científicos e intelectuales (015)",13419,,2542,6185,4353,339
"Técnicos de nivel medio y trab.asimilados (016)",7001,14,2592,2668,1548,179
"Jefes y empleados de oficina (017)",3268,,1126,1230,866,46
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",13318,194,4863,4458,3079,724
"Agricult.trabaj. calif. agrop. y pesqueros (019)",10305,44,1721,3116,3618,1806
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",13157,153,5091,4259,3084,570
"Obreros construc., conf., papel, fab., instr. (021)",17229,54,5581,6924,4199,471
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",19341,1094,7600,5376,4189,1082
"Otra (023)",1160,,223,655,280,2
"Ocupación no especificada (024)",1446,36,562,441,309,98
"Desocupado (025)",5262,55,2564,1505,958,180
"Mujeres (026)",75527,1112,25457,27845,18138,2975
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",111,,6,47,52,6
"Profes., científicos e intelectuales (028)",12578,,3138,6359,3012,69
"Técnicos de nivel medio y trab.asimilados (029)",4008,1,1757,1462,742,46
"Jefes y empleados de oficina (030)",4078,,2006,1365,696,11
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",19482,192,6343,7055,5064,828
