"CUADRO Nº 16: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ANDAHUAYLAS (000)",43266,7392,8758,16483,756,7290,616,1971
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",96,95,,,1,,,
"Profes., científicos e intelectuales (002)",3989,3659,,296,24,10,,
"Técnicos de nivel medio y trab. asimilados (003)",868,571,,237,42,18,,
"Jefes y empleados de oficina (004)",903,896,,3,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3908,703,35,2559,66,545,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10200,4,1,9695,499,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1663,,439,1016,67,141,,
"Obreros construc.,conf.,papel, fab., instr. (008)",2149,330,636,1112,30,41,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (009)",16256,625,7499,1123,9,6384,616,
"Otra (010)",238,238,,,,,,
"Ocupación no especificada (011)",1025,271,148,442,18,146,,
"Desocupado (012)",1971,,,,,,,1971
"Hombres (013)",29077,4178,7369,11687,628,3683,38,1494
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",79,78,,,1,,,
"Profes., científicos e intelectuales (015)",2123,1910,,195,17,1,,
"Técnicos de nivel medio y trab. asimilados (016)",528,331,,160,34,3,,
"Jefes y empleados de oficina (017)",521,518,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",1322,337,3,818,39,125,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",8488,4,,8046,437,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",1379,,388,830,58,103,,
"Obreros construc.,conf.,papel, fab., instr. (021)",2100,327,611,1094,30,38,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (022)",10321,291,6258,365,3,3366,38,
"Otra (023)",228,228,,,,,,
"Ocupación no especificada (024)",494,154,109,177,9,45,,
"Desocupado (025)",1494,,,,,,,1494
"Mujeres (026)",14189,3214,1389,4796,128,3607,578,477
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",17,17,,,,,,
"Profes., científicos e intelectuales (028)",1866,1749,,101,7,9,,
"Técnicos de nivel medio y trab. asimilados (029)",340,240,,77,8,15,,
"Jefes y empleados de oficina (030)",382,378,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",2586,366,32,1741,27,420,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",1712,,1,1649,62,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",284,,51,186,9,38,,
"Obreros construc.,conf.,papel, fab., instr. (034)",49,3,25,18,,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (035)",5935,334,1241,758,6,3018,578,
"Otra (036)",10,10,,,,,,
"Ocupación no especificada (037)",531,117,39,265,9,101,,
"Desocupado (038)",477,,,,,,,477
,,,,,,,,
"URBANA (039)",22426,6766,3465,8113,410,2216,498,958
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",75,74,,,1,,,
"Profes., científicos e intelectuales (041)",3787,3493,,262,22,10,,
"Técnicos de nivel medio y trab. asimilados (042)",804,525,,223,38,18,,
"Jefes y empleados de oficina (043)",819,812,,3,,4,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",3423,635,22,2215,65,486,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",2633,4,1,2450,178,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",1224,,297,795,61,71,,
"Obreros construc.,conf.,papel, fab., instr. (047)",1607,273,438,852,21,23,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (048)",6127,496,2599,1010,8,1516,498,
"Otra (049)",206,206,,,,,,
"Ocupación no especificada (050)",763,248,108,303,16,88,,
"Desocupado (051)",958,,,,,,,958
"Hombres (052)",13665,3789,2791,5040,314,1075,31,625
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",61,60,,,1,,,
"Profes., científicos e intelectuales (054)",2004,1807,,179,17,1,,
"Técnicos de nivel medio y trab. asimilados (055)",489,306,,148,32,3,,
"Jefes y empleados de oficina (056)",455,452,,2,,1,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",1186,305,,727,39,115,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",2175,4,,2030,141,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",1026,,258,669,53,46,,
"Obreros construc.,conf.,papel, fab., instr. (060)",1559,270,413,835,21,20,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (061)",3500,244,2041,323,3,858,31,
"Otra (062)",201,201,,,,,,
"Ocupación no especificada (063)",384,140,79,127,7,31,,
"Desocupado (064)",625,,,,,,,625
"Mujeres (065)",8761,2977,674,3073,96,1141,467,333
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",14,14,,,,,,
"Profes., científicos e intelectuales (067)",1783,1686,,83,5,9,,
"Técnicos de nivel medio y trab. asimilados (068)",315,219,,75,6,15,,
"Jefes y empleados de oficina (069)",364,360,,1,,3,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",2237,330,22,1488,26,371,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",458,,1,420,37,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",198,,39,126,8,25,,
"Obreros construc.,conf.,papel, fab., instr. (073)",48,3,25,17,,3,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (074)",2627,252,558,687,5,658,467,
"Otra (075)",5,5,,,,,,
"Ocupación no especificada (076)",379,108,29,176,9,57,,
"Desocupado (077)",333,,,,,,,333
,,,,,,,,
"RURAL (078)",20840,626,5293,8370,346,5074,118,1013
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",21,21,,,,,,
"Profes., científicos e intelectuales (080)",202,166,,34,2,,,
"Técnicos de nivel medio y trab. asimilados (081)",64,46,,14,4,,,
"Jefes y empleados de oficina (082)",84,84,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",485,68,13,344,1,59,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",7567,,,7245,321,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",439,,142,221,6,70,,
"Obreros construc.,conf.,papel, fab., instr. (086)",542,57,198,260,9,18,,
"Trabaj.no calif.serv.,peon,vend ,amb., y afines (087)",10129,129,4900,113,1,4868,118,
"Otra (088)",32,32,,,,,,
"Ocupación no especificada (089)",262,23,40,139,2,58,,
"Desocupado (090)",1013,,,,,,,1013
"Hombres (091)",15412,389,4578,6647,314,2608,7,869
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",18,18,,,,,,
"Profes., científicos e intelectuales (093)",119,103,,16,,,,
"Técnicos de nivel medio y trab. asimilados (094)",39,25,,12,2,,,
"Jefes y empleados de oficina (095)",66,66,,,,,,
