"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia AZANGARO (000)",54870,13291,41579
"Casa independiente (001)",37161,12674,24487
"Departamento en edificio (002)",9,9,
"Vivienda en quinta (003)",29,29,
"Vivienda en casa de vecindad (004)",514,514,
"Choza o cabaña (005)",17081,,17081
"Vivienda improvisada (006)",51,51,
"Local no dest.para hab. humana (007)",23,12,11
"Otro tipo (008)",2,2,
