"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia URUBAMBA (000)",19685,291,6239,7076,4767,1312
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",42,,2,19,17,4
"Profes., científicos e intelectuales (002)",1421,,304,740,355,22
"Técnicos de nivel medio y trab. asimilados (003)",608,,238,221,131,18
"Jefes y empleados de oficina (004)",556,,235,215,103,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",3545,30,1348,1272,721,174
"Agricult. trabaj. calif.agrop. y pesqueros (006)",4921,24,785,1709,1682,721
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",952,11,370,315,209,47
"Obreros construc., conf., papel, fab., instr. (008)",2105,9,708,929,415,44
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",4605,211,1958,1321,909,206
"Otra (010)",98,,12,64,22,
"Ocupación no especificada (011)",832,6,279,271,203,73
"Hombres (012)",13371,195,4027,4787,3406,956
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",34,,2,17,11,4
"Profes., científicos e intelectuales (014)",710,,122,355,216,17
"Técnicos de nivel medio y trab. asimilados (015)",388,,133,148,96,11
"Jefes y empleados de oficina (016)",319,,100,135,81,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",1264,10,587,417,199,51
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4442,21,695,1564,1527,635
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",686,6,257,224,164,35
"Obreros construc., conf., papel, fab., instr. (020)",1975,7,646,885,395,42
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3048,148,1327,850,592,131
"Otra (022)",97,,12,63,22,
"Ocupación no especificada (023)",408,3,146,129,103,27
"Mujeres (024)",6314,96,2212,2289,1361,356
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",8,,,2,6,
"Profes., científicos e intelectuales (026)",711,,182,385,139,5
"Técnicos de nivel medio y trab. asimilados (027)",220,,105,73,35,7
"Jefes y empleados de oficina (028)",237,,135,80,22,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",2281,20,761,855,522,123
"Agricult. trabaj. calif.agrop. y pesqueros (030)",479,3,90,145,155,86
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",266,5,113,91,45,12
"Obreros construc., conf., papel, fab., instr. (032)",130,2,62,44,20,2
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",1557,63,631,471,317,75
