"CUADRO Nº 19: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia ICA (000)",135303,38603,43907,38848,2173,3505,2926,5341
"Agric., ganadería, caza y silvicultura (001)",33194,1141,27703,3195,416,739,,
"Pesca (002)",154,18,19,113,4,,,
"Explotación de minas y canteras (003)",977,148,532,254,34,9,,
"Industrias manufactureras (004)",10023,1128,5572,3015,184,124,,
"Suministro de electricidad, gas y agua (005)",375,222,139,14,,,,
"Construcción (006)",7625,559,4531,2350,123,62,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",24124,5622,1177,14645,742,1938,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",2473,428,601,1277,102,65,,
"Comercio al por mayor (009)",2417,1199,343,690,75,110,,
"Comercio al por menor (010)",19234,3995,233,12678,565,1763,,
"Hoteles y restaurantes (011)",5456,2242,414,2355,187,258,,
"Trans., almac. y comunicaciones (012)",12884,2774,1615,8265,153,77,,
"Intermediación financiera (013)",1027,1004,6,12,4,1,,
"Activid.inmobil., empres. y alquileres (014)",7608,5168,502,1756,147,35,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",4224,3689,535,,,,,
"Enseñanza (016)",9869,9420,6,404,28,11,,
"Servicios sociales y de salud (017)",3917,3304,38,534,36,5,,
"Otras activ. serv.comun.soc y personales (018)",3169,1399,293,1335,72,70,,
"Hogares privados con servicio doméstico (019)",2926,,,,,,2926,
"Organiz. y organos extraterritoriales (020)",7,7,,,,,,
"Actividad economica no especificada (021)",2403,758,825,601,43,176,,
"Desocupado (022)",5341,,,,,,,5341
"Hombres (023)",83850,21227,29810,26531,1514,1504,213,3051
"Agric., ganadería, caza y silvicultura (024)",21592,911,17134,2715,335,497,,
"Pesca (025)",149,14,19,112,4,,,
"Explotación de minas y canteras (026)",913,130,508,238,33,4,,
"Industrias manufactureras (027)",6403,733,3232,2206,141,91,,
"Suministro de electricidad, gas y agua (028)",317,169,134,14,,,,
"Construcción (029)",7392,461,4450,2303,118,60,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",12461,2918,1101,7425,444,573,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",2222,300,578,1210,94,40,,
"Comercio al por mayor (032)",1538,740,307,408,49,34,,
"Comercio al por menor (033)",8701,1878,216,5807,301,499,,
"Hoteles y restaurantes (034)",1830,905,160,580,89,96,,
"Trans., almac. y comunicaciones (035)",12093,2245,1567,8088,136,57,,
"Intermediación financiera (036)",570,554,4,9,3,,,
"Activid.inmobil., empres. y alquileres (037)",5559,3633,416,1379,117,14,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",2862,2537,325,,,,,
"Enseñanza (039)",3822,3655,4,145,13,5,,
"Servicios sociales y de salud (040)",1483,1166,15,282,20,,,
"Otras activ. serv.comun.soc y personales (041)",1825,808,215,715,41,46,,
"Hogares privados con servicio doméstico (042)",213,,,,,,213,
"Organiz. y organos extraterritoriales (043)",3,3,,,,,,
"Actividad economica no especificada (044)",1312,385,526,320,20,61,,
"Desocupado (045)",3051,,,,,,,3051
"Mujeres (046)",51453,17376,14097,12317,659,2001,2713,2290
"Agric., ganadería, caza y silvicultura (047)",11602,230,10569,480,81,242,,
"Pesca (048)",5,4,,1,,,,
"Explotación de minas y canteras (049)",64,18,24,16,1,5,,
"Industrias manufactureras (050)",3620,395,2340,809,43,33,,
"Suministro de electricidad, gas y agua (051)",58,53,5,,,,,
"Construcción (052)",233,98,81,47,5,2,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (053)",11663,2704,76,7220,298,1365,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",251,128,23,67,8,25,,
"Comercio al por mayor (055)",879,459,36,282,26,76,,
"Comercio al por menor (056)",10533,2117,17,6871,264,1264,,
"Hoteles y restaurantes (057)",3626,1337,254,1775,98,162,,
"Trans., almac. y comunicaciones (058)",791,529,48,177,17,20,,
"Intermediación financiera (059)",457,450,2,3,1,1,,
"Activid.inmobil., empres. y alquileres (060)",2049,1535,86,377,30,21,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",1362,1152,210,,,,,
"Enseñanza (062)",6047,5765,2,259,15,6,,
"Servicios sociales y de salud (063)",2434,2138,23,252,16,5,,
"Otras activ. serv.comun.soc y personales (064)",1344,591,78,620,31,24,,
"Hogares privados con servicio doméstico (065)",2713,,,,,,2713,
"Organiz. y organos extraterritoriales (066)",4,4,,,,,,
"Actividad economica no especificada (067)",1091,373,299,281,23,115,,
"Desocupado (068)",2290,,,,,,,2290
,,,,,,,,
"URBANA (069)",123416,37330,36467,36702,2052,3200,2771,4894
"Agric., ganadería, caza y silvicultura (070)",25495,1023,21487,2166,327,492,,
"Pesca (071)",152,18,18,112,4,,,
"Explotación de minas y canteras (072)",908,142,482,242,33,9,,
"Industrias manufactureras (073)",9381,1076,5092,2915,178,120,,
"Suministro de electricidad, gas y agua (074)",367,221,132,14,,,,
"Construcción (075)",7325,542,4327,2274,121,61,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (076)",23403,5481,1067,14225,731,1899,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",2358,416,559,1218,100,65,,
"Comercio al por mayor (078)",2294,1162,295,655,74,108,,
"Comercio al por menor (079)",18751,3903,213,12352,557,1726,,
"Hoteles y restaurantes (080)",5288,2191,376,2280,186,255,,
"Trans., almac. y comunicaciones (081)",12323,2688,1482,7929,148,76,,
"Intermediación financiera (082)",1019,996,6,12,4,1,,
"Activid.inmobil., empres. y alquileres (083)",7260,4931,426,1726,142,35,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",4094,3581,513,,,,,
"Enseñanza (085)",9539,9107,6,387,28,11,,
"Servicios sociales y de salud (086)",3831,3228,34,528,36,5,,
"Otras activ. serv.comun.soc y personales (087)",3097,1367,274,1314,72,70,,
"Hogares privados con servicio doméstico (088)",2771,,,,,,2771,
"Organiz. y organos extraterritoriales (089)",7,7,,,,,,
"Actividad economica no especificada (090)",2262,731,745,578,42,166,,
"Desocupado (091)",4894,,,,,,,4894
"Hombres (092)",75635,20442,24629,24862,1410,1315,202,2775
"Agric., ganadería, caza y silvicultura (093)",16104,812,12892,1815,255,330,,
"Pesca (094)",147,14,18,111,4,,,
"Explotación de minas y canteras (095)",846,125,458,227,32,4,,
"Industrias manufactureras (096)",5987,695,2945,2124,136,87,,
"Suministro de electricidad, gas y agua (097)",310,169,127,14,,,,
"Construcción (098)",7095,447,4246,2227,116,59,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (099)",12066,2843,995,7230,437,561,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",2118,295,537,1154,92,40,,
"Comercio al por mayor (101)",1443,714,260,388,48,33,,
"Comercio al por menor (102)",8505,1834,198,5688,297,488,,
"Hoteles y restaurantes (103)",1783,884,153,562,89,95,,
