"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia BOLOGNESI (000)",28835,18577,10258
"Casa independiente (001)",26121,18207,7914
"Departamento en edificio (002)",20,20,
"Vivienda en quinta (003)",109,109,
"Vivienda en casa de vecindad (004)",202,202,
"Choza o cabaña (005)",2327,,2327
"Local no dest.para hab. humana (007)",43,39,4
"Otro tipo (008)",13,,13
