"CUADRO Nº 38: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, GRUPOS DE EDAD Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia JUNIN (000)",662,207,455
"Sin nivel (001)",36,4,32
"Educación inicial (002)",1,,1
"Primaria (003)",126,30,96
"Secundaria (004)",271,92,179
"Superior no univ. incompleta (005)",42,14,28
"Superior no univ. completa (006)",93,37,56
"Superior univ. incompleta (007)",30,8,22
"Superior univ. completa (008)",63,22,41
"De 14 a 29 años (010)",330,156,174
"Sin nivel (011)",8,4,4
"Primaria (013)",32,15,17
"Secundaria (014)",170,78,92
"Superior no univ. incompleta (015)",26,10,16
"Superior no univ. completa (016)",51,29,22
"Superior univ. incompleta (017)",10,6,4
"Superior univ. completa (018)",33,14,19
"De 30 a 44 años (020)",199,41,158
"Sin nivel (021)",12,,12
"Educación inicial (022)",1,,1
"Primaria (023)",44,10,34
"Secundaria (024)",71,14,57
"Superior no univ. incompleta (025)",8,2,6
"Superior no univ. completa (026)",32,7,25
"Superior univ. incompleta (027)",12,1,11
"Superior univ. completa (028)",19,7,12
"De 45 a 64 años (030)",115,10,105
"Sin nivel (031)",13,,13
"Primaria (033)",43,5,38
"Secundaria (034)",26,,26
"Superior no univ. incompleta (035)",7,2,5
"Superior no univ. completa (036)",9,1,8
"Superior univ. incompleta (037)",7,1,6
"Superior univ. completa (038)",10,1,9
"De 65 y más años (040)",18,,18
"Sin nivel (041)",3,,3
"Primaria (043)",7,,7
"Secundaria (044)",4,,4
"Superior no univ. incompleta (045)",1,,1
"Superior no univ. completa (046)",1,,1
"Superior univ. incompleta (047)",1,,1
"Superior univ. completa (048)",1,,1
,,,
"AREA URBANA (050)",571,169,402
"Sin nivel (051)",34,4,30
"Educación inicial (052)",1,,1
"Primaria (053)",100,17,83
"Secundaria (054)",238,72,166
"Superior no univ. incompleta (055)",34,14,20
"Superior no univ. completa (056)",83,35,48
"Superior univ. incompleta (057)",24,8,16
"Superior univ. completa (058)",57,19,38
"De 14 a 29 años (060)",277,124,153
"Sin nivel (061)",8,4,4
"Primaria (063)",21,7,14
"Secundaria (064)",143,58,85
"Superior no univ. incompleta (065)",22,10,12
"Superior no univ. completa (066)",46,27,19
"Superior univ. incompleta (067)",9,6,3
"Superior univ. completa (068)",28,12,16
"De 30 a 44 años (070)",173,36,137
"Sin nivel (071)",11,,11
"Educación inicial (072)",1,,1
"Primaria (073)",35,6,29
"Secundaria (074)",68,14,54
"Superior no univ. incompleta (075)",5,2,3
"Superior no univ. completa (076)",28,7,21
"Superior univ. incompleta (077)",7,1,6
"Superior univ. completa (078)",18,6,12
"De 45 a 64 años (080)",106,9,97
"Sin nivel (081)",12,,12
"Primaria (083)",38,4,34
"Secundaria (084)",24,,24
"Superior no univ. incompleta (085)",6,2,4
"Superior no univ. completa (086)",9,1,8
"Superior univ. incompleta (087)",7,1,6
"Superior univ. completa (088)",10,1,9
"De 65 y más años (090)",15,,15
"Sin nivel (091)",3,,3
"Primaria (093)",6,,6
"Secundaria (094)",3,,3
"Superior no univ. incompleta (095)",1,,1
"Superior univ. incompleta (097)",1,,1
"Superior univ. completa (098)",1,,1
,,,
"AREA RURAL (100)",91,38,53
"Sin nivel (101)",2,,2
"Primaria (103)",26,13,13
"Secundaria (104)",33,20,13
"Superior no univ. incompleta (105)",8,,8
"Superior no univ. completa (106)",10,2,8
"Superior univ. incompleta (107)",6,,6
"Superior univ. completa (108)",6,3,3
"De 14 a 29 años (110)",53,32,21
"Primaria (113)",11,8,3
"Secundaria (114)",27,20,7
"Superior no univ. incompleta (115)",4,,4
"Superior no univ. completa (116)",5,2,3
"Superior univ. incompleta (117)",1,,1
"Superior univ. completa (118)",5,2,3
"De 30 a 44 años (120)",26,5,21
"Sin nivel (121)",1,,1
"Primaria (123)",9,4,5
"Secundaria (124)",3,,3
"Superior no univ. incompleta (125)",3,,3
"Superior no univ. completa (126)",4,,4
"Superior univ. incompleta (127)",5,,5
"Superior univ. completa (128)",1,1,
"De 45 a 64 años (130)",9,1,8
"Sin nivel (131)",1,,1
"Primaria (133)",5,1,4
"Secundaria (134)",2,,2
"Superior no univ. incompleta (135)",1,,1
"De 65 y más años (140)",3,,3
"Primaria (143)",1,,1
"Secundaria (144)",1,,1
"Superior no univ. completa (146)",1,,1
