"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUAROCHIRI (000)",19207,18189,92,4175,4103,2921,3726,1998,892,282,1018,60896
"De 12 a 14 años (001)",16,12,,9,3,,,,,,4,15
"De 15 a 19 años (002)",432,385,12,322,44,7,,,,,47,431
"De 20 a 24 años (003)",2043,1719,16,1128,462,92,21,,,,324,2415
"De 25 a 29 años (004)",2348,2070,9,915,750,285,101,8,2,,278,3758
"De 30 a 34 años (005)",2385,2242,7,605,839,479,271,40,1,,143,5139
"De 35 a 39 años (006)",2260,2186,4,368,640,561,493,102,16,2,74,6265
"De 40 a 44 años (007)",1846,1807,4,213,395,391,545,199,51,9,39,6359
"De 45 a 49 años (008)",1561,1531,5,138,281,312,444,264,65,22,30,6057
"De 50 y más años (009)",6316,6237,35,477,689,794,1851,1385,757,249,79,30457
"Conviviente (010)",6577,6412,35,1988,1842,1051,955,378,128,35,165,16866
"De 12 a 14 años (011)",8,5,,4,1,,,,,,3,6
"De 15 a 19 años (012)",269,231,8,185,32,6,,,,,38,267
"De 20 a 24 años (013)",1239,1171,9,741,339,67,15,,,,68,1682
"De 25 a 29 años (014)",1321,1296,6,510,505,202,65,6,2,,25,2453
"De 30 a 34 años (015)",1161,1149,,259,452,264,146,27,1,,12,2756
"De 35 a 39 años (016)",906,901,2,131,248,235,229,47,8,1,5,2706
"De 40 a 44 años (017)",628,623,2,70,125,133,199,75,19,,5,2231
"De 45 a 49 años (018)",358,354,1,29,61,68,101,71,16,7,4,1469
"De 50 y más años (019)",687,682,7,59,79,76,200,152,82,27,5,3296
"Separado(a) (020)",1143,1129,3,329,266,174,212,104,35,6,14,3351
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",28,26,,24,1,1,,,,,2,29
