"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia TARATA (000)",7461,267,591,669,647,1204,1063,2026,994
"Sin nivel (001)",830,267,62,7,5,16,28,177,268
"Educación inicial (002)",136,,131,,,4,1,,
"Primaria (003)",2806,,398,392,70,140,298,934,574
"Secundaria (004)",2358,,,270,466,560,415,558,89
"Superior no univ. incompleto (005)",365,,,,82,143,63,64,13
"Superior no univ. completo (006)",459,,,,,199,120,116,24
"Superior univ. incompleto (007)",174,,,,24,56,43,43,8
"Superior univ. completo (008)",333,,,,,86,95,134,18
"Hombres (010)",3845,140,305,345,346,609,565,1056,479
"Sin nivel (011)",271,140,32,3,2,2,2,39,51
"Educación inicial (012)",61,,58,,,3,,,
"Primaria (013)",1315,,215,200,35,44,116,394,311
"Secundaria (014)",1415,,,142,261,314,258,379,61
"Superior no univ. incompleto (015)",226,,,,37,81,45,50,13
"Superior no univ. completo (016)",249,,,,,93,66,71,19
"Superior univ. incompleto (017)",111,,,,11,29,31,32,8
"Superior univ. completo (018)",197,,,,,43,47,91,16
"Mujeres (020)",3616,127,286,324,301,595,498,970,515
"Sin nivel (021)",559,127,30,4,3,14,26,138,217
"Educación inicial (022)",75,,73,,,1,1,,
"Primaria (023)",1491,,183,192,35,96,182,540,263
"Secundaria (024)",943,,,128,205,246,157,179,28
"Superior no univ. incompleto (025)",139,,,,45,62,18,14,
"Superior no univ. completo (026)",210,,,,,106,54,45,5
"Superior univ. incompleto (027)",63,,,,13,27,12,11,
"Superior univ. completo (028)",136,,,,,43,48,43,2
,,,,,,,,,
"URBANA (030)",5808,209,451,534,506,942,821,1576,769
"Sin nivel (031)",608,209,47,7,3,12,18,129,183
"Educación inicial (032)",103,,98,,,4,1,,
"Primaria (033)",2063,,306,308,47,74,199,676,453
"Secundaria (034)",1865,,,219,366,426,336,447,71
"Superior no univ. incompleto (035)",330,,,,69,130,57,61,13
"Superior no univ. completo (036)",386,,,,,172,92,99,23
"Superior univ. incompleto (037)",157,,,,21,50,37,41,8
"Superior univ. completo (038)",296,,,,,74,81,123,18
"Hombres (040)",2968,106,230,275,274,479,423,812,369
"Sin nivel (041)",202,106,24,3,1,2,2,28,36
"Educación inicial (042)",48,,45,,,3,,,
"Primaria (043)",934,,161,160,28,23,62,267,233
"Secundaria (044)",1097,,,112,204,236,203,297,45
"Superior no univ. incompleto (045)",204,,,,31,71,41,48,13
"Superior no univ. completo (046)",212,,,,,82,51,61,18
"Superior univ. incompleto (047)",100,,,,10,26,25,31,8
"Superior univ. completo (048)",171,,,,,36,39,80,16
"Mujeres (050)",2840,103,221,259,232,463,398,764,400
"Sin nivel (051)",406,103,23,4,2,10,16,101,147
"Educación inicial (052)",55,,53,,,1,1,,
"Primaria (053)",1129,,145,148,19,51,137,409,220
"Secundaria (054)",768,,,107,162,190,133,150,26
"Superior no univ. incompleto (055)",126,,,,38,59,16,13,
"Superior no univ. completo (056)",174,,,,,90,41,38,5
"Superior univ. incompleto (057)",57,,,,11,24,12,10,
"Superior univ. completo (058)",125,,,,,38,42,43,2
,,,,,,,,,
"RURAL (060)",1653,58,140,135,141,262,242,450,225
"Sin nivel (061)",222,58,15,,2,4,10,48,85
"Educación inicial (062)",33,,33,,,,,,
"Primaria (063)",743,,92,84,23,66,99,258,121
"Secundaria (064)",493,,,51,100,134,79,111,18
"Superior no univ. incompleto (065)",35,,,,13,13,6,3,
"Superior no univ. completo (066)",73,,,,,27,28,17,1
"Superior univ. incompleto (067)",17,,,,3,6,6,2,
"Superior univ. completo (068)",37,,,,,12,14,11,
"Hombres (070)",877,34,75,70,72,130,142,244,110
"Sin nivel (071)",69,34,8,,1,,,11,15
"Educación inicial (072)",13,,13,,,,,,
"Primaria (073)",381,,54,40,7,21,54,127,78
"Secundaria (074)",318,,,30,57,78,55,82,16
"Superior no univ. incompleto (075)",22,,,,6,10,4,2,
"Superior no univ. completo (076)",37,,,,,11,15,10,1
"Superior univ. incompleto (077)",11,,,,1,3,6,1,
"Superior univ. completo (078)",26,,,,,7,8,11,
"Mujeres (080)",776,24,65,65,69,132,100,206,115
"Sin nivel (081)",153,24,7,,1,4,10,37,70
"Educación inicial (082)",20,,20,,,,,,
"Primaria (083)",362,,38,44,16,45,45,131,43
"Secundaria (084)",175,,,21,43,56,24,29,2
"Superior no univ. incompleto (085)",13,,,,7,3,2,1,
"Superior no univ. completo (086)",36,,,,,16,13,7,
"Superior univ. incompleto (087)",6,,,,2,3,,1,
"Superior univ. completo (088)",11,,,,,5,6,,
