"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia PALLASCA (000)",7379,68,229,500,805,1398,2799,1580
"De 12 a 14 años (001)",11,,,,,,1,10
"De 15 a 19 años (002)",231,,,,,,155,76
"De 20 a 24 años (003)",729,,,,,2,492,235
"De 25 a 29 años (004)",753,,,,,22,568,163
"De 30 a 34 años (005)",776,,,,,103,548,125
"De 35 a 39 años (006)",791,,,,3,188,500,100
"De 40 a 44 años (007)",718,,,,26,284,333,75
"De 45 a 49 años (008)",590,,,2,61,291,168,68
"De 50 y más años (009)",2780,68,229,498,715,508,34,728
"Conviviente (010)",2568,7,13,50,137,399,1514,448
"De 12 a 14 años (011)",6,,,,,,,6
"De 15 a 19 años (012)",122,,,,,,79,43
"De 20 a 24 años (013)",416,,,,,,312,104
"De 25 a 29 años (014)",438,,,,,13,348,77
"De 30 a 34 años (015)",397,,,,,41,305,51
"De 35 a 39 años (016)",339,,,,,64,241,34
"De 40 a 44 años (017)",264,,,,13,80,148,23
"De 45 a 49 años (018)",176,,,1,9,81,70,15
"De 50 y más años (019)",410,7,13,49,115,120,11,95
"Separado(a) (020)",204,,4,15,23,46,74,42
"De 15 a 19 años (022)",6,,,,,,3,3
"De 20 a 24 años (023)",23,,,,,,15,8
"De 25 a 29 años (024)",21,,,,,,16,5
"De 30 a 34 años (025)",21,,,,,4,13,4
"De 35 a 39 años (026)",26,,,,,7,18,1
"De 40 a 44 años (027)",16,,,,1,9,3,3
"De 45 a 49 años (028)",18,,,,2,12,2,2
"De 50 y más años (029)",73,,4,15,20,14,4,16
"Casado(a) (030)",2793,10,88,227,453,749,796,470
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",12,,,,,,5,7
"De 20 a 24 años (033)",72,,,,,,47,25
"De 25 a 29 años (034)",143,,,,,3,115,25
"De 30 a 34 años (035)",216,,,,,30,163,23
"De 35 a 39 años (036)",329,,,,2,88,203,36
"De 40 a 44 años (037)",352,,,,9,151,164,28
"De 45 a 49 años (038)",315,,,,35,169,81,30
"De 50 y más años (039)",1352,10,88,227,407,308,18,294
"Viudo(a) (040)",758,40,102,163,126,81,31,215
"De 20 a 24 años (043)",5,,,,,,2,3
"De 25 a 29 años (044)",4,,,,,,4,
"De 30 a 34 años (045)",13,,,,,2,8,3
"De 35 a 39 años (046)",12,,,,,4,5,3
"De 40 a 44 años (047)",15,,,,,9,6,
"De 45 a 49 años (048)",21,,,1,1,12,5,2
"De 50 y más años (049)",688,40,102,162,125,54,1,204
"Divorciado(a) (050)",32,,1,6,6,6,3,10
"De 35 a 39 años (056)",1,,,,,,1,
"De 40 a 44 años (057)",3,,,,,1,1,1
