"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia HUANTA (000)",27905,23898,1853,933,1221
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,,4,2,32
"Profes., científicos e intelectuales (002)",1768,492,356,452,468
"Técnicos de nivel medio y trab. asimilados (003)",490,262,68,49,111
"Jefes y empleados de oficina (004)",318,58,34,47,179
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2618,2430,134,37,17
"Agricult.trabaj.calif.agrop.y pesqueros (006)",10972,10603,365,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",713,630,57,17,9
"Obreros construc.,conf.,papel, fab., instr. (008)",1342,1064,147,71,60
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8810,7738,633,236,203
"Otra (010)",120,,,,120
"Ocupación no especificada (011)",716,621,55,18,22
"Hombres (012)",19171,16649,1229,555,738
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,,3,2,27
"Profes., científicos e intelectuales (014)",851,234,163,223,231
"Técnicos de nivel medio y trab. asimilados (015)",308,168,51,37,52
"Jefes y empleados de oficina (016)",168,26,19,26,97
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",910,812,63,21,14
"Agricult.trabaj.calif.agrop.y pesqueros (018)",9521,9225,293,3,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",570,501,46,15,8
"Obreros construc.,conf.,papel, fab., instr. (020)",1305,1040,144,64,57
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",5097,4399,423,150,125
"Otra (022)",115,,,,115
"Ocupación no especificada (023)",294,244,24,14,12
"Mujeres (024)",8734,7249,624,378,483
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,,1,,5
"Profes., científicos e intelectuales (026)",917,258,193,229,237
"Técnicos de nivel medio y trab. asimilados (027)",182,94,17,12,59
"Jefes y empleados de oficina (028)",150,32,15,21,82
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1708,1618,71,16,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1451,1378,72,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",143,129,11,2,1
"Obreros construc.,conf.,papel, fab., instr. (032)",37,24,3,7,3
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",3713,3339,210,86,78
