"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PALPA (000)",3457,12783,2192,8397,1265,4386
"Casa independiente (001)",3301,12289,2125,8170,1176,4119
"Departamento en edificio (002)",5,17,5,17,,
"Vivienda en quinta (003)",13,51,13,51,,
"Vivienda en casa de vecindad (004)",26,85,26,85,,
"Choza o cabaña (005)",87,263,,,87,263
"Vivienda improvisada (006)",9,32,9,32,,
"Local no dest.para hab. humana (007)",4,9,2,5,2,4
"Otro tipo (008)",12,37,12,37,,
