"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",5092,3856,437,382,417
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",11,,3,1,7
"Profes., científicos e intelectuales (002)",565,135,157,234,39
"Técnicos de nivel medio y trab. asimilados (003)",82,17,4,8,53
"Jefes y empleados de oficina (004)",206,21,13,19,153
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",276,242,15,6,13
"Agricult.trabaj.calif.agrop.y pesqueros (006)",1988,1933,51,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",209,128,18,54,9
"Obreros construc.,conf.,papel, fab., instr. (008)",157,81,53,9,14
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",1320,1052,101,44,123
"Otra (010)",1,,,,1
"Ocupación no especificada (011)",277,247,22,3,5
"Hombres (012)",3727,2836,333,294,264
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",9,,2,,7
"Profes., científicos e intelectuales (014)",350,67,102,163,18
"Técnicos de nivel medio y trab. asimilados (015)",40,9,2,6,23
"Jefes y empleados de oficina (016)",106,10,6,16,74
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",109,88,6,4,11
"Agricult.trabaj.calif.agrop.y pesqueros (018)",1869,1817,48,4,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",181,110,13,50,8
"Obreros construc.,conf.,papel, fab., instr. (020)",157,81,53,9,14
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",839,606,87,40,106
"Otra (022)",1,,,,1
"Ocupación no especificada (023)",66,48,14,2,2
"Mujeres (024)",1365,1020,104,88,153
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",2,,1,1,
"Profes., científicos e intelectuales (026)",215,68,55,71,21
"Técnicos de nivel medio y trab. asimilados (027)",42,8,2,2,30
"Jefes y empleados de oficina (028)",100,11,7,3,79
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",167,154,9,2,2
"Agricult.trabaj.calif.agrop.y pesqueros (030)",119,116,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",28,18,5,4,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",481,446,14,4,17
"Ocupación no especificada (035)",211,199,8,1,3
,,,,,
