"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia YUNGUYO (000)",19051,5492,13559
"Casa independiente (001)",18564,5418,13146
"Departamento en edificio (002)",8,8,
"Vivienda en quinta (003)",18,18,
"Vivienda en casa de vecindad (004)",25,25,
"Choza o cabaña (005)",412,,412
"Vivienda improvisada (006)",16,16,
"Local no dest.para hab. humana (007)",6,5,1
"Otro tipo (008)",2,2,
