"CUADRO Nº 5: POBLACIÓN TOTAL, POR TENENCIA DE PARTIDA DE NACIMIENTO OTORGADO POR EL REGISTRO CIVIL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,
,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TENENCIA DE PARTIDA NACIMIENTO",,
,,"TIENE PARTIDA DE NACIMIENTO","NO TIENE PARTIDA DE NACIMIENTO","NO ESPECIFICADO"
,,,,
"Provincia ISLAY (000)",52264,51830,332,102
"Hombres (001)",26846,26652,148,46
"Mujeres (002)",25418,25178,184,56
"Menores de 1 año (003)",711,604,85,22
"Hombres (004)",365,315,41,9
"Mujeres (005)",346,289,44,13
"De 1 a 5 años (006)",4267,4005,193,69
"Hombres (007)",2178,2057,88,33
"Mujeres (008)",2089,1948,105,36
"De 6 a 14 años (009)",8359,8353,2,4
"Hombres (010)",4170,4166,2,2
"Mujeres (011)",4189,4187,,2
"De 15 a 29 años (012)",12764,12761,2,1
"Hombres (013)",6468,6467,1,
"Mujeres (014)",6296,6294,1,1
"De 30 a 44 años (015)",11667,11660,4,3
"Hombres (016)",5945,5944,,1
"Mujeres (017)",5722,5716,4,2
"De 45 a 64 años (018)",9675,9668,6,1
"Hombres (019)",5169,5165,3,1
"Mujeres (020)",4506,4503,3,
"De 65 a más años (021)",4821,4779,40,2
"Hombres (022)",2551,2538,13,
"Mujeres (023)",2270,2241,27,2
,,,,
"URBANA (024)",47402,47006,303,93
"Hombres (025)",23975,23799,134,42
"Mujeres (026)",23427,23207,169,51
"Menores de 1 año (027)",653,554,79,20
"Hombres (028)",332,287,37,8
"Mujeres (029)",321,267,42,12
"De 1 a 5 años (030)",3903,3661,179,63
"Hombres (031)",1994,1884,80,30
"Mujeres (032)",1909,1777,99,33
"De 6 a 14 años (033)",7634,7628,2,4
"Hombres (034)",3790,3786,2,2
"Mujeres (035)",3844,3842,,2
"De 15 a 29 años (036)",11517,11515,1,1
"Hombres (037)",5713,5712,1,
"Mujeres (038)",5804,5803,,1
"De 30 a 44 años (039)",10487,10481,3,3
"Hombres (040)",5212,5211,,1
"Mujeres (041)",5275,5270,3,2
"De 45 a 64 años (042)",8792,8788,3,1
"Hombres (043)",4618,4616,1,1
"Mujeres (044)",4174,4172,2,
"De 65 a más años (045)",4416,4379,36,1
"Hombres (046)",2316,2303,13,
"Mujeres (047)",2100,2076,23,1
,,,,
"RURAL (048)",4862,4824,29,9
"Hombres (049)",2871,2853,14,4
"Mujeres (050)",1991,1971,15,5
"Menores de 1 año (051)",58,50,6,2
"Hombres (052)",33,28,4,1
"Mujeres (053)",25,22,2,1
"De 1 a 5 años (054)",364,344,14,6
"Hombres (055)",184,173,8,3
"Mujeres (056)",180,171,6,3
"De 6 a 14 años (057)",725,725,,
"Hombres (058)",380,380,,
"Mujeres (059)",345,345,,
"De 15 a 29 años (060)",1247,1246,1,
"Hombres (061)",755,755,,
"Mujeres (062)",492,491,1,
"De 30 a 44 años (063)",1180,1179,1,
"Hombres (064)",733,733,,
"Mujeres (065)",447,446,1,
"De 45 a 64 años (066)",883,880,3,
"Hombres (067)",551,549,2,
"Mujeres (068)",332,331,1,
"De 65 a más años (069)",405,400,4,1
"Hombres (070)",235,235,,
"Mujeres (071)",170,165,4,1
