"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia HUARAL (000)",46317,467,1342,3248,5438,9161,14022,12639
"De 12 a 14 años (001)",48,,,,,,4,44
"De 15 a 19 años (002)",1020,,,,,,581,439
"De 20 a 24 años (003)",4708,,,,,17,2471,2220
"De 25 a 29 años (004)",5926,,,,,340,3438,2148
"De 30 a 34 años (005)",6122,,,,2,1050,3382,1688
"De 35 a 39 años (006)",5714,,,,93,1933,2463,1225
"De 40 a 44 años (007)",4884,,,1,471,2257,1214,941
"De 45 a 49 años (008)",3953,,,35,924,1845,413,736
"De 50 y más años (009)",13942,467,1342,3212,3948,1719,56,3198
"Conviviente (010)",16589,35,79,325,990,3176,7998,3986
"De 12 a 14 años (011)",27,,,,,,1,26
"De 15 a 19 años (012)",733,,,,,,418,315
"De 20 a 24 años (013)",2657,,,,,7,1736,914
"De 25 a 29 años (014)",3214,,,,,192,2193,829
"De 30 a 34 años (015)",2975,,,,2,500,1841,632
"De 35 a 39 años (016)",2363,,,,28,777,1150,408
"De 40 a 44 años (017)",1694,,,,151,762,503,278
"De 45 a 49 años (018)",1085,,,9,211,535,143,187
"De 50 y más años (019)",1841,35,79,316,598,403,13,397
"Separado(a) (020)",3609,16,82,263,527,898,952,871
"De 12 a 14 años (021)",4,,,,,,2,2
"De 15 a 19 años (022)",76,,,,,,43,33
"De 20 a 24 años (023)",294,,,,,6,182,106
"De 25 a 29 años (024)",397,,,,,51,238,108
"De 30 a 34 años (025)",450,,,,,130,210,110
"De 35 a 39 años (026)",493,,,,19,199,162,113
"De 40 a 44 años (027)",426,,,,54,219,79,74
"De 45 a 49 años (028)",362,,,4,84,159,33,82
"De 50 y más años (029)",1107,16,82,259,370,134,3,243
"Casado(a) (030)",17089,127,584,1756,3141,4219,4009,3253
"De 12 a 14 años (031)",2,,,,,,,2
"De 15 a 19 años (032)",56,,,,,,23,33
"De 20 a 24 años (033)",461,,,,,2,283,176
"De 25 a 29 años (034)",1113,,,,,56,749,308
"De 30 a 34 años (035)",1833,,,,,297,1132,404
"De 35 a 39 años (036)",2214,,,,29,779,1012,394
"De 40 a 44 años (037)",2175,,,,215,1074,567,319
"De 45 a 49 años (038)",2027,,,18,517,997,210,285
"De 50 y más años (039)",7208,127,584,1738,2380,1014,33,1332
"Viudo(a) (040)",3408,270,540,741,549,333,89,886
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",5,,,,,,,5
"De 20 a 24 años (043)",15,,,,,,2,13
"De 25 a 29 años (044)",21,,,,,2,11,8
"De 30 a 34 años (045)",34,,,,,6,14,14
"De 35 a 39 años (046)",71,,,,,36,26,9
