"CUADRO Nº 5: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia FERREÑAFE (000)",30094,714,9762,10354,7679,1585
"Agric., ganadería, caza y silvicultura (001)",14384,477,4467,4533,3842,1065
"Pesca (002)",10,,4,3,3,
"Explotación de minas y canteras (003)",73,1,29,23,17,3
"Industrias manufactureras (004)",1182,37,440,351,296,58
"Suministro de electricidad, gas y agua (005)",63,3,12,18,28,2
"Construcción (006)",1152,9,381,425,300,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",3229,64,950,1179,865,171
"Venta, mant.y rep. veh.autom.y motoc. (008)",330,1,135,103,80,11
"Comercio al por mayor (009)",168,4,60,64,30,10
"Comercio al por menor (010)",2731,59,755,1012,755,150
"Hoteles y restaurantes (011)",546,13,150,213,152,18
"Trans., almac. y comunicaciones (012)",1811,9,731,678,365,28
"Intermediación financiera (013)",52,,26,21,4,1
"Activid.inmobil., empres. y alquileres (014)",529,1,171,218,126,13
"Admin.pub. y defensa; p. segur.soc afil (015)",739,,119,369,245,6
"Enseñanza (016)",1716,1,396,813,490,16
"Servicios sociales y de salud (017)",464,,125,210,119,10
"Otras activ. serv.comun.soc y personales (018)",541,13,151,212,145,20
"Hogares privados con servicio doméstico (019)",674,20,294,232,112,16
"Actividad economica no especificada (021)",790,11,267,273,194,45
"Desocupado (022)",2139,55,1049,583,376,76
"Hombres (023)",22230,459,7218,7399,5869,1285
"Agric., ganadería, caza y silvicultura (024)",12293,324,3812,3864,3358,935
"Pesca (025)",8,,2,3,3,
"Explotación de minas y canteras (026)",72,1,28,23,17,3
"Industrias manufactureras (027)",790,11,322,236,186,35
"Suministro de electricidad, gas y agua (028)",59,2,10,17,28,2
"Construcción (029)",1134,9,373,419,296,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (030)",1720,42,567,569,450,92
"Venta, mant.y rep. veh.autom.y motoc. (031)",314,1,122,100,80,11
"Comercio al por mayor (032)",106,2,39,40,18,7
"Comercio al por menor (033)",1300,39,406,429,352,74
"Hoteles y restaurantes (034)",133,3,43,49,33,5
"Trans., almac. y comunicaciones (035)",1704,6,667,653,350,28
"Intermediación financiera (036)",32,,17,11,3,1
"Activid.inmobil., empres. y alquileres (037)",397,1,118,166,101,11
"Admin.pub. y defensa; p. segur.soc afil (038)",552,,74,284,188,6
"Enseñanza (039)",804,,169,358,266,11
"Servicios sociales y de salud (040)",155,,34,66,46,9
