"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia ISLAY (000)",22611,43,1213,934,899,2961,2153,1522,2062,8515,248,635,1426
"Agric., ganadería, caza y silvicultura (001)",6435,1,8,19,7,,1642,8,53,4697,,,
"Pesca (002)",1034,,,14,11,,511,6,29,463,,,
"Explotación de minas y canteras (003)",216,,14,11,13,2,,120,16,40,,,
"Industrias manufactureras (004)",1153,,23,62,56,8,,836,91,77,,,
"Suministro de electricidad, gas y agua (005)",58,,2,7,9,,,9,13,18,,,
"Construcción (006)",1043,,11,31,8,,,60,669,264,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",3330,5,26,153,43,2030,,438,47,588,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",530,,8,36,10,78,,367,25,6,,,
"Comercio al por mayor (009)",167,1,4,29,14,104,,,2,13,,,
"Comercio al por menor (010)",2633,4,14,88,19,1848,,71,20,569,,,
"Hoteles y restaurantes (011)",1023,,6,44,32,559,,,,382,,,
"Trans., almac. y comunicaciones (012)",2012,1,17,124,163,64,,15,1066,562,,,
"Intermediación financiera (013)",69,,4,18,39,,,1,,7,,,
"Activid.inmobil., empres. y alquileres (014)",873,3,109,157,151,177,,12,42,222,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",725,13,30,48,212,25,,3,21,125,248,,
"Enseñanza (016)",913,19,832,13,24,,,1,1,23,,,
"Servicios sociales y de salud (017)",292,,92,112,29,14,,4,4,37,,,
"Otras activ. serv.comun.soc y personales (018)",936,1,37,104,57,80,,9,10,638,,,
"Hogares privados con servicio doméstico (019)",374,,,1,,2,,,,371,,,
"Actividad economica no especificada (021)",699,,2,16,45,,,,,1,,635,
"Desocupado (022)",1426,,,,,,,,,,,,1426
"Hombres (023)",14583,26,527,611,451,1100,1860,1322,2011,4974,237,452,1012
"Agric., ganadería, caza y silvicultura (024)",4244,1,8,13,6,,1355,8,53,2800,,,
"Pesca (025)",1001,,,12,9,,505,4,29,442,,,
"Explotación de minas y canteras (026)",212,,14,10,11,2,,120,16,39,,,
"Industrias manufactureras (027)",904,,16,42,42,2,,660,75,67,,,
"Suministro de electricidad, gas y agua (028)",54,,2,7,5,,,9,13,18,,,
"Construcción (029)",1005,,10,28,7,,,59,658,243,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",1445,4,20,91,16,661,,420,47,186,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",488,,7,32,4,65,,352,25,3,,,
"Comercio al por mayor (032)",92,1,2,15,6,53,,,2,13,,,
"Comercio al por menor (033)",865,3,11,44,6,543,,68,20,170,,,
"Hoteles y restaurantes (034)",280,,4,27,9,162,,,,78,,,
"Trans., almac. y comunicaciones (035)",1784,1,14,96,111,60,,15,1047,440,,,
"Intermediación financiera (036)",31,,3,9,15,,,1,,3,,,
"Activid.inmobil., empres. y alquileres (037)",650,2,83,116,65,173,,11,39,161,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",535,9,21,23,105,24,,3,21,92,237,,
"Enseñanza (039)",304,8,262,6,10,,,1,1,16,,,
"Servicios sociales y de salud (040)",99,,40,38,10,,,3,4,4,,,
"Otras activ. serv.comun.soc y personales (041)",513,1,29,85,17,16,,8,8,349,,,
"Hogares privados con servicio doméstico (042)",36,,,,,,,,,36,,,
"Actividad economica no especificada (044)",474,,1,8,13,,,,,,,452,
"Desocupado (045)",1012,,,,,,,,,,,,1012
"Mujeres (046)",8028,17,686,323,448,1861,293,200,51,3541,11,183,414
"Agric., ganadería, caza y silvicultura (047)",2191,,,6,1,,287,,,1897,,,
"Pesca (048)",33,,,2,2,,6,2,,21,,,
"Explotación de minas y canteras (049)",4,,,1,2,,,,,1,,,
"Industrias manufactureras (050)",249,,7,20,14,6,,176,16,10,,,
"Suministro de electricidad, gas y agua (051)",4,,,,4,,,,,,,,
"Construcción (052)",38,,1,3,1,,,1,11,21,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1885,1,6,62,27,1369,,18,,402,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",42,,1,4,6,13,,15,,3,,,
"Comercio al por mayor (055)",75,,2,14,8,51,,,,,,,
"Comercio al por menor (056)",1768,1,3,44,13,1305,,3,,399,,,
"Hoteles y restaurantes (057)",743,,2,17,23,397,,,,304,,,
"Trans., almac. y comunicaciones (058)",228,,3,28,52,4,,,19,122,,,
"Intermediación financiera (059)",38,,1,9,24,,,,,4,,,
"Activid.inmobil., empres. y alquileres (060)",223,1,26,41,86,4,,1,3,61,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",190,4,9,25,107,1,,,,33,11,,
"Enseñanza (062)",609,11,570,7,14,,,,,7,,,
"Servicios sociales y de salud (063)",193,,52,74,19,14,,1,,33,,,
"Otras activ. serv.comun.soc y personales (064)",423,,8,19,40,64,,1,2,289,,,
"Hogares privados con servicio doméstico (065)",338,,,1,,2,,,,335,,,
"Actividad economica no especificada (067)",225,,1,8,32,,,,,1,,183,
"Desocupado (068)",414,,,,,,,,,,,,414
,,,,,,,,,,,,,
"URBANA (069)",20003,42,1166,899,860,2831,1600,1382,1940,7153,194,619,1317
"Agric., ganadería, caza y silvicultura (070)",4801,1,6,16,6,,1176,7,43,3546,,,
"Pesca (071)",838,,,13,9,,424,5,9,378,,,
"Explotación de minas y canteras (072)",105,,2,9,11,1,,39,8,35,,,
"Industrias manufactureras (073)",1045,,16,56,43,7,,792,76,55,,,
"Suministro de electricidad, gas y agua (074)",55,,2,7,9,,,8,13,16,,,
"Construcción (075)",1013,,10,30,8,,,59,650,256,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",3220,5,26,150,42,1953,,427,43,574,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",513,,8,36,10,71,,358,24,6,,,
"Comercio al por mayor (078)",161,1,4,29,14,98,,,2,13,,,
"Comercio al por menor (079)",2546,4,14,85,18,1784,,69,17,555,,,
"Hoteles y restaurantes (080)",987,,5,44,32,530,,,,376,,,
"Trans., almac. y comunicaciones (081)",1959,1,17,122,162,64,,15,1026,552,,,
"Intermediación financiera (082)",68,,4,17,39,,,1,,7,,,
"Activid.inmobil., empres. y alquileres (083)",817,3,106,154,147,158,,12,37,200,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",645,13,28,47,198,24,,3,20,118,194,,
"Enseñanza (085)",895,18,816,13,24,,,1,1,22,,,
"Servicios sociales y de salud (086)",280,,89,109,28,13,,4,4,33,,,
"Otras activ. serv.comun.soc y personales (087)",910,1,37,95,57,79,,9,10,622,,,
"Hogares privados con servicio doméstico (088)",365,,,1,,2,,,,362,,,
"Actividad economica no especificada (090)",683,,2,16,45,,,,,1,,619,
"Desocupado (091)",1317,,,,,,,,,,,,1317
"Hombres (092)",12664,26,497,582,427,1042,1379,1187,1889,4073,185,445,932
"Agric., ganadería, caza y silvicultura (093)",3106,1,6,10,6,,961,7,43,2072,,,
"Pesca (094)",806,,,11,7,,418,3,9,358,,,
"Explotación de minas y canteras (095)",101,,2,8,9,1,,39,8,34,,,
"Industrias manufactureras (096)",807,,11,37,32,1,,621,60,45,,,
"Suministro de electricidad, gas y agua (097)",51,,2,7,5,,,8,13,16,,,
"Construcción (098)",976,,9,27,7,,,58,639,236,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",1399,4,20,88,15,637,,409,43,183,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",472,,7,32,4,59,,343,24,3,,,
"Comercio al por mayor (101)",90,1,2,15,6,51,,,2,13,,,
"Comercio al por menor (102)",837,3,11,41,5,527,,66,17,167,,,
"Hoteles y restaurantes (103)",265,,3,27,9,150,,,,76,,,
"Trans., almac. y comunicaciones (104)",1734,1,14,94,110,60,,15,1007,433,,,
"Intermediación financiera (105)",30,,3,8,15,,,1,,3,,,
"Activid.inmobil., empres. y alquileres (106)",599,2,81,113,64,154,,11,34,140,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",466,9,20,22,98,23,,3,20,86,185,,
"Enseñanza (108)",298,8,257,6,10,,,1,1,15,,,
"Servicios sociales y de salud (109)",97,,39,37,10,,,3,4,4,,,
"Otras activ. serv.comun.soc y personales (110)",497,1,29,79,17,16,,8,8,339,,,
"Hogares privados con servicio doméstico (111)",33,,,,,,,,,33,,,
"Actividad economica no especificada (113)",467,,1,8,13,,,,,,,445,
"Desocupado (114)",932,,,,,,,,,,,,932
"Mujeres (115)",7339,16,669,317,433,1789,221,195,51,3080,9,174,385
"Agric., ganadería, caza y silvicultura (116)",1695,,,6,,,215,,,1474,,,
"Pesca (117)",32,,,2,2,,6,2,,20,,,
"Explotación de minas y canteras (118)",4,,,1,2,,,,,1,,,
"Industrias manufactureras (119)",238,,5,19,11,6,,171,16,10,,,
"Suministro de electricidad, gas y agua (120)",4,,,,4,,,,,,,,
"Construcción (121)",37,,1,3,1,,,1,11,20,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",1821,1,6,62,27,1316,,18,,391,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",41,,1,4,6,12,,15,,3,,,
"Comercio al por mayor (124)",71,,2,14,8,47,,,,,,,
"Comercio al por menor (125)",1709,1,3,44,13,1257,,3,,388,,,
"Hoteles y restaurantes (126)",722,,2,17,23,380,,,,300,,,
"Trans., almac. y comunicaciones (127)",225,,3,28,52,4,,,19,119,,,
"Intermediación financiera (128)",38,,1,9,24,,,,,4,,,
"Activid.inmobil., empres. y alquileres (129)",218,1,25,41,83,4,,1,3,60,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",179,4,8,25,100,1,,,,32,9,,
"Enseñanza (131)",597,10,559,7,14,,,,,7,,,
"Servicios sociales y de salud (132)",183,,50,72,18,13,,1,,29,,,
"Otras activ. serv.comun.soc y personales (133)",413,,8,16,40,63,,1,2,283,,,
"Hogares privados con servicio doméstico (134)",332,,,1,,2,,,,329,,,
"Actividad economica no especificada (136)",216,,1,8,32,,,,,1,,174,
"Desocupado (137)",385,,,,,,,,,,,,385
,,,,,,,,,,,,,
"RURAL (138)",2608,1,47,35,39,130,553,140,122,1362,54,16,109
"Agric., ganadería, caza y silvicultura (139)",1634,,2,3,1,,466,1,10,1151,,,
