"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia AYABACA (000)",31907,169,662,1691,3287,5999,13455,6644
"De 12 a 14 años (001)",50,,,,,,9,41
"De 15 a 19 años (002)",1089,,,,,,720,369
"De 20 a 24 años (003)",3291,,,,,3,2238,1050
"De 25 a 29 años (004)",3775,,,,,110,2821,844
"De 30 a 34 años (005)",3695,,,,1,373,2676,645
"De 35 a 39 años (006)",3677,,,,12,794,2345,526
"De 40 a 44 años (007)",3203,,,1,108,1016,1608,470
"De 45 a 49 años (008)",2778,,,3,244,1306,868,357
"De 50 y más años (009)",10349,169,662,1687,2922,2397,170,2342
"Sin nivel (010)",9751,111,435,956,1513,1880,2651,2205
"De 12 a 14 años (011)",3,,,,,,,3
"De 15 a 19 años (012)",81,,,,,,54,27
"De 20 a 24 años (013)",352,,,,,,246,106
"De 25 a 29 años (014)",547,,,,,10,420,117
"De 30 a 34 años (015)",688,,,,,54,522,112
"De 35 a 39 años (016)",805,,,,3,136,535,131
"De 40 a 44 años (017)",909,,,,24,231,501,153
"De 45 a 49 años (018)",856,,,1,51,369,305,130
"De 50 y más años (019)",5510,111,435,955,1435,1080,68,1426
"Educacion Inicial (020)",32,,,,,3,22,7
"De 15 a 19 años (022)",2,,,,,,2,
"De 20 a 24 años (023)",7,,,,,,5,2
"De 25 a 29 años (024)",10,,,,,1,5,4
"De 30 a 34 años (025)",8,,,,,1,6,1
"De 35 a 39 años (026)",5,,,,,1,4,
"Primaria (030)",16581,48,203,638,1528,3282,7980,2902
"De 12 a 14 años (031)",36,,,,,,8,28
"De 15 a 19 años (032)",648,,,,,,451,197
"De 20 a 24 años (033)",1877,,,,,3,1327,547
"De 25 a 29 años (034)",2200,,,,,53,1740,407
"De 30 a 34 años (035)",2141,,,,1,224,1590,326
"De 35 a 39 años (036)",2078,,,,7,481,1350,240
"De 40 a 44 años (037)",1757,,,,62,581,903,211
"De 45 a 49 años (038)",1572,,,,141,764,512,155
"De 50 y más años (039)",4272,48,203,638,1317,1176,99,791
"Secundaria (040)",3335,4,15,34,100,426,1914,842
"De 12 a 14 años (041)",11,,,,,,1,10
"De 15 a 19 años (042)",343,,,,,,204,139
"De 20 a 24 años (043)",794,,,,,,542,252
"De 25 a 29 años (044)",626,,,,,28,447,151
"De 30 a 34 años (045)",485,,,,,58,335,92
"De 35 a 39 años (046)",413,,,,,98,254,61
"De 40 a 44 años (047)",275,,,1,14,109,106,45
"De 45 a 49 años (048)",149,,,1,24,67,23,34
"De 50 y más años (049)",239,4,15,32,62,66,2,58
