"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YAUYOS (000)",26095,1059,2738,2784,1916,3836,3973,6338,3451
"Sabe leer y escribir (001)",23384,,2090,2758,1901,3792,3898,6030,2915
"No sabe leer y escribir (002)",2711,1059,648,26,15,44,75,308,536
"Hombres (004)",14273,545,1388,1467,1064,2254,2366,3533,1656
"Sabe leer y escribir (005)",13232,,1064,1450,1056,2236,2344,3477,1605
"No sabe leer y escribir (006)",1041,545,324,17,8,18,22,56,51
"Mujeres (008)",11822,514,1350,1317,852,1582,1607,2805,1795
"Sabe leer y escribir (009)",10152,,1026,1308,845,1556,1554,2553,1310
"No sabe leer y escribir (010)",1670,514,324,9,7,26,53,252,485
,,,,,,,,,
"URBANA (012)",14952,600,1606,1774,1173,1951,2099,3586,2163
"Sabe leer y escribir (013)",13540,,1242,1762,1169,1931,2073,3469,1894
"No sabe leer y escribir (014)",1412,600,364,12,4,20,26,117,269
"Hombres (016)",7595,318,815,932,641,989,1051,1838,1011
"Sabe leer y escribir (017)",7031,,642,923,639,980,1045,1815,987
"No sabe leer y escribir (018)",564,318,173,9,2,9,6,23,24
"Mujeres (020)",7357,282,791,842,532,962,1048,1748,1152
"Sabe leer y escribir (021)",6509,,600,839,530,951,1028,1654,907
"No sabe leer y escribir (022)",848,282,191,3,2,11,20,94,245
,,,,,,,,,
"RURAL (024)",11143,459,1132,1010,743,1885,1874,2752,1288
"Sabe leer y escribir (025)",9844,,848,996,732,1861,1825,2561,1021
"No sabe leer y escribir (026)",1299,459,284,14,11,24,49,191,267
"Hombres (028)",6678,227,573,535,423,1265,1315,1695,645
"Sabe leer y escribir (029)",6201,,422,527,417,1256,1299,1662,618
"No sabe leer y escribir (030)",477,227,151,8,6,9,16,33,27
"Mujeres (032)",4465,232,559,475,320,620,559,1057,643
"Sabe leer y escribir (033)",3643,,426,469,315,605,526,899,403
"No sabe leer y escribir (034)",822,232,133,6,5,15,33,158,240
