"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia CASMA (000)",15974,1087,13,4369,6429,738,1282,614,1442
"Agric., ganadería, caza y silvicultura (001)",5901,707,5,2458,2251,107,138,100,135
"Pesca (002)",826,20,1,184,469,42,31,29,50
"Explotación de minas y canteras (003)",36,3,,7,14,1,1,2,8
"Industrias manufactureras (004)",1008,28,,177,517,72,111,43,60
"Suministro de electricidad, gas y agua (005)",35,,,11,14,3,3,3,1
"Construcción (006)",643,13,1,149,333,44,45,20,38
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2443,163,1,594,994,153,233,123,182
"Venta, mant.y rep. veh.autom.y motoc. (008)",271,4,,45,118,27,48,12,17
"Comercio al por mayor (009)",242,5,,37,118,15,25,16,26
"Comercio al por menor (010)",1930,154,1,512,758,111,160,95,139
"Hoteles y restaurantes (011)",792,52,3,205,322,55,64,30,61
"Trans., almac. y comunicaciones (012)",1666,26,1,329,893,102,124,96,95
"Intermediación financiera (013)",29,,,2,5,,9,1,12
"Activid.inmobil., empres. y de alquiler (014)",441,6,,36,149,34,58,41,117
"Admin.pub. y defensa; p. segur.soc.afil (015)",459,9,,42,110,41,117,26,114
"Enseñanza (016)",793,,,1,51,38,217,49,437
"Servicios sociales y de salud (017)",165,,,8,15,8,58,13,63
"Otras activ. serv.comun.soc y personales (018)",319,11,1,61,117,20,43,21,45
"Hogares privados con servicio doméstico (019)",226,19,,72,102,9,13,3,8
"Actividad economica no especificada (021)",192,30,,33,73,9,17,14,16
"Hombres (022)",11439,627,8,3397,4949,488,697,424,849
"Agric., ganadería, caza y silvicultura (023)",5084,500,4,2174,1996,86,114,92,118
"Pesca (024)",742,13,1,172,425,37,24,25,45
"Explotación de minas y canteras (025)",35,3,,7,13,1,1,2,8
"Industrias manufactureras (026)",581,9,,112,308,37,52,27,36
"Suministro de electricidad, gas y agua (027)",34,,,11,13,3,3,3,1
"Construcción (028)",631,13,1,145,328,44,44,19,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1244,34,,297,552,87,118,66,90
"Venta, mant.y rep. veh.autom.y motoc. (030)",249,4,,43,112,23,42,11,14
"Comercio al por mayor (031)",145,1,,23,82,11,12,7,9
"Comercio al por menor (032)",850,29,,231,358,53,64,48,67
"Hoteles y restaurantes (033)",240,7,1,46,104,24,21,17,20
"Trans., almac. y comunicaciones (034)",1573,26,1,325,860,87,103,84,87
"Intermediación financiera (035)",17,,,1,3,,5,,8
"Activid.inmobil., empres. y de alquiler (036)",324,5,,31,127,26,33,29,73
"Admin.pub. y defensa; p. segur.soc.afil (037)",289,4,,32,81,20,64,18,70
"Enseñanza (038)",351,,,,28,19,86,22,196
"Servicios sociales y de salud (039)",45,,,1,6,4,8,3,23
"Otras activ. serv.comun.soc y personales (040)",176,5,,30,77,9,14,13,28
"Hogares privados con servicio doméstico (041)",11,3,,2,3,1,1,,1
"Actividad economica no especificada (043)",62,5,,11,25,3,6,4,8
"Mujeres (044)",4535,460,5,972,1480,250,585,190,593
