"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia PADRE ABAD (000)",15702,39431,36473,,1122,92.5,2.8
"De 12 a 14 años (001)",1770,23,22,,8,95.7,34.8
"De 15 a 19 años (002)",2511,822,809,186,98.4,22.6,
"De 20 a 24 años (003)",2163,2464,2425,276,98.4,11.2,
"De 25 a 29 años (004)",1935,3877,3746,247,96.6,6.4,
"De 30 a 34 años (005)",1669,4832,4626,194,95.7,4,
"De 35 a 39 años (006)",1652,6055,5797,156,95.7,2.6,
"De 40 a 44 años (007)",1339,5753,5421,48,94.2,0.8,
"De 45 a 49 años (008)",869,4535,4173,7,92,0.2,
"De 50 y más años (009)",1794,11070,9454,,85.4,,
"Conviviente (010)",7347,21320,20115,857,94.3,4,
"De 12 a 14 años (011)",53,13,13,5,100,38.5,
"De 15 a 19 años (012)",791,616,605,135,98.2,21.9,
"De 20 a 24 años (013)",1391,1961,1927,227,98.3,11.6,
"De 25 a 29 años (014)",1314,2957,2862,207,96.8,7,
"De 30 a 34 años (015)",1112,3354,3229,142,96.3,4.2,
"De 35 a 39 años (016)",1024,3837,3690,107,96.2,2.8,
"De 40 a 44 años (017)",707,3151,2980,31,94.6,1,
"De 45 a 49 años (018)",413,2238,2056,3,91.9,0.1,
"De 50 y más años (019)",542,3193,2753,,86.2,,
"Separado(a) (020)",613,1933,1755,41,90.8,2.1,
"De 12 a 14 años (021)",6,1,1,1,100,100,
"De 15 a 19 años (022)",36,37,35,13,94.6,35.1,
"De 20 a 24 años (023)",75,103,103,11,100,10.7,
"De 25 a 29 años (024)",90,143,136,8,95.1,5.6,
"De 30 a 34 años (025)",75,183,175,3,95.6,1.6,
"De 35 a 39 años (026)",81,277,264,4,95.3,1.4,
"De 40 a 44 años (027)",75,282,268,1,95,0.4,
"De 45 a 49 años (028)",59,279,262,,93.9,,
"De 50 y más años (029)",116,628,511,,81.4,,
"Casado(a) (030)",2669,12244,11240,158,91.8,1.3,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",34,30,30,7,100,23.3,
"De 20 a 24 años (033)",136,219,216,20,98.6,9.1,
"De 25 a 29 años (034)",248,579,558,28,96.4,4.8,
"De 30 a 34 años (035)",350,1164,1097,42,94.2,3.6,
"De 35 a 39 años (036)",423,1699,1617,43,95.2,2.5,
