"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia YUNGUYO (000)",47400,23321,24079,17343,8510,8833,30057,14811,15246
"Menores de 1 año (001)",670,360,310,253,133,120,417,227,190
"Menores de 1 mes (002)",60,35,25,27,13,14,33,22,11
"De 1 a 11 meses (003)",610,325,285,226,120,106,384,205,179
"De 1 a 4 años (004)",3259,1576,1683,1203,586,617,2056,990,1066
"1 año (005)",666,320,346,258,125,133,408,195,213
"2 años (006)",827,382,445,299,137,162,528,245,283
"3 años (007)",864,436,428,329,173,156,535,263,272
"4 años (008)",902,438,464,317,151,166,585,287,298
"De 5 a 9 años (009)",4917,2467,2450,1845,944,901,3072,1523,1549
"5 años (010)",926,447,479,349,169,180,577,278,299
"6 años (011)",861,417,444,339,172,167,522,245,277
"7 años (012)",1023,502,521,381,190,191,642,312,330
"8 años (013)",1102,546,556,398,189,209,704,357,347
"9 años (014)",1005,555,450,378,224,154,627,331,296
"De 10 a 14 años (015)",5441,2749,2692,1965,969,996,3476,1780,1696
"10 años (016)",1081,561,520,371,193,178,710,368,342
"11 años (017)",971,472,499,339,172,167,632,300,332
"12 años (018)",1179,604,575,433,209,224,746,395,351
"13 años (019)",1165,581,584,427,206,221,738,375,363
"14 años (020)",1045,531,514,395,189,206,650,342,308
"De 15 a 19 años (021)",4581,2317,2264,1706,828,878,2875,1489,1386
"15 años (022)",1125,540,585,411,186,225,714,354,360
"16 años (023)",916,457,459,352,164,188,564,293,271
"17 años (024)",962,513,449,341,177,164,621,336,285
"18 años (025)",911,464,447,348,178,170,563,286,277
"19 años (026)",667,343,324,254,123,131,413,220,193
"De 20 a 24 años (027)",3539,1819,1720,1399,704,695,2140,1115,1025
"20 años (028)",875,429,446,334,160,174,541,269,272
"21 años (029)",573,308,265,225,122,103,348,186,162
"22 años (030)",749,397,352,291,134,157,458,263,195
"23 años (031)",665,351,314,260,136,124,405,215,190
"24 años (032)",677,334,343,289,152,137,388,182,206
"De 25 a 29 años (033)",3247,1560,1687,1368,646,722,1879,914,965
"25 años (034)",763,356,407,321,144,177,442,212,230
"26 años (035)",589,274,315,231,105,126,358,169,189
"27 años (036)",728,366,362,305,148,157,423,218,205
"28 años (037)",686,321,365,287,143,144,399,178,221
"29 años (038)",481,243,238,224,106,118,257,137,120
"De 30 a 34 años (039)",2993,1405,1588,1242,574,668,1751,831,920
"30 años (040)",886,426,460,371,173,198,515,253,262
"31 años (041)",461,221,240,185,88,97,276,133,143
"32 años (042)",614,300,314,240,117,123,374,183,191
"33 años (043)",527,229,298,233,103,130,294,126,168
"34 años (044)",505,229,276,213,93,120,292,136,156
"De 35 a 39 años (045)",3008,1427,1581,1282,615,667,1726,812,914
