"CUADRO Nº 4: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",,,,,,,
,,,,,,,
"PROVINCIA, DISTRITO, ÁREA, URBANA Y RURAL, SEXO Y PARENTESCO CON EL JEFE DEL HOGAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia MAYNAS (000)",486072,12895,158136,142003,88255,63869,20914
"Jefe o Jefa (001)",100394,,154,15325,37905,36499,10511
"Esposa(o) / compañera(o) (002)",65634,,156,17451,26701,18013,3313
"Hijo(a) / hijastro(a) (003)",210292,7401,115514,73440,11980,1932,25
"Yerno / nuera (004)",11542,,107,7682,3233,504,16
"Nieto(a) (005)",36225,3949,26493,5482,292,9,
"Padres / suegros (006)",7638,,,5,230,2324,5079
"Otro(a) pariente (007)",42909,1361,13869,16778,5891,3426,1584
"Trabajador(a) del hogar (008)",2027,,217,1516,164,98,32
"Pensionistas (009)",635,,21,351,158,70,35
"Otro(a) no pariente (010)",8776,184,1605,3973,1701,994,319
"Hombres (011)",243384,6543,80549,69564,43155,33235,10338
"Jefe o Jefa (012)",71814,,79,10508,27566,26463,7198
"Esposa(o) / compañera(o) (013)",6121,,90,1580,2191,1772,488
"Hijo(a) / hijastro(a) (014)",110697,3731,59159,40281,6451,1069,6
"Yerno / nuera (015)",5266,,45,2778,2056,376,11
"Nieto(a) (016)",18775,2018,13511,3061,179,6,
"Padres / suegros (017)",2649,,,2,80,772,1795
"Otro(a) pariente (018)",22615,701,6915,8921,3455,1981,642
"Trabajador(a) del hogar (019)",187,,15,112,27,29,4
"Pensionistas (020)",374,,11,187,108,53,15
"Otro(a) no pariente (021)",4886,93,724,2134,1042,714,179
"Mujeres (022)",242688,6352,77587,72439,45100,30634,10576
"Jefe o Jefa (023)",28580,,75,4817,10339,10036,3313
"Esposa(o) / compañera(o) (024)",59513,,66,15871,24510,16241,2825
"Hijo(a) / hijastro(a) (025)",99595,3670,56355,33159,5529,863,19
"Yerno / nuera (026)",6276,,62,4904,1177,128,5
"Nieto(a) (027)",17450,1931,12982,2421,113,3,
"Padres / suegros (028)",4989,,,3,150,1552,3284
"Otro(a) pariente (029)",20294,660,6954,7857,2436,1445,942
"Trabajador(a) del hogar (030)",1840,,202,1404,137,69,28
"Pensionistas (031)",261,,10,164,50,17,20
"Otro(a) no pariente (032)",3890,91,881,1839,659,280,140
,,,,,,,
"URBANA (033)",386891,9607,118380,117523,72456,52199,16726
"Jefe o Jefa (034)",80945,,129,11910,30443,30097,8366
"Esposa(o) / compañera(o) (035)",50407,,125,12660,20983,14168,2471
"Hijo(a) / hijastro(a) (036)",162774,5231,83004,61846,10888,1780,25
"Yerno / nuera (037)",9673,,82,6210,2906,461,14
"Nieto(a) (038)",30605,3156,22144,5022,276,7,
"Padres / suegros (039)",6377,,,5,194,1889,4289
"Otro(a) pariente (040)",36553,1065,11345,14830,5125,2911,1277
"Trabajador(a) del hogar (041)",1961,,210,1470,158,94,29
"Pensionistas (042)",572,,20,326,129,63,34
"Otro(a) no pariente (043)",7024,155,1321,3244,1354,729,221
"Hombres (044)",189996,4933,60114,56349,34333,26401,7866
"Jefe o Jefa (045)",54377,,67,7504,20755,20688,5363
"Esposa(o) / compañera(o) (046)",5762,,84,1485,2066,1664,463
"Hijo(a) / hijastro(a) (047)",84619,2672,42422,32919,5649,951,6
"Yerno / nuera (048)",4393,,40,2176,1826,342,9
"Nieto(a) (049)",15850,1631,11281,2767,167,4,
"Padres / suegros (050)",2071,,,2,62,579,1428
"Otro(a) pariente (051)",18856,552,5613,7666,2928,1619,478
"Trabajador(a) del hogar (052)",161,,13,94,25,26,3
"Pensionistas (053)",332,,10,170,91,47,14
"Otro(a) no pariente (054)",3575,78,584,1566,764,481,102
"Mujeres (055)",196895,4674,58266,61174,38123,25798,8860
"Jefe o Jefa (056)",26568,,62,4406,9688,9409,3003
"Esposa(o) / compañera(o) (057)",44645,,41,11175,18917,12504,2008
"Hijo(a) / hijastro(a) (058)",78155,2559,40582,28927,5239,829,19
"Yerno / nuera (059)",5280,,42,4034,1080,119,5
"Nieto(a) (060)",14755,1525,10863,2255,109,3,
"Padres / suegros (061)",4306,,,3,132,1310,2861
"Otro(a) pariente (062)",17697,513,5732,7164,2197,1292,799
"Trabajador(a) del hogar (063)",1800,,197,1376,133,68,26
"Pensionistas (064)",240,,10,156,38,16,20
"Otro(a) no pariente (065)",3449,77,737,1678,590,248,119
,,,,,,,
"RURAL (066)",99181,3288,39756,24480,15799,11670,4188
"Jefe o Jefa (067)",19449,,25,3415,7462,6402,2145
"Esposa(o) / compañera(o) (068)",15227,,31,4791,5718,3845,842
"Hijo(a) / hijastro(a) (069)",47518,2170,32510,11594,1092,152,
"Yerno / nuera (070)",1869,,25,1472,327,43,2
"Nieto(a) (071)",5620,793,4349,460,16,2,
"Padres / suegros (072)",1261,,,,36,435,790
"Otro(a) pariente (073)",6356,296,2524,1948,766,515,307
"Trabajador(a) del hogar (074)",66,,7,46,6,4,3
"Pensionistas (075)",63,,1,25,29,7,1
"Otro(a) no pariente (076)",1752,29,284,729,347,265,98
"Hombres (077)",53388,1610,20435,13215,8822,6834,2472
"Jefe o Jefa (078)",17437,,12,3004,6811,5775,1835
"Esposa(o) / compañera(o) (079)",359,,6,95,125,108,25
"Hijo(a) / hijastro(a) (080)",26078,1059,16737,7362,802,118,
"Yerno / nuera (081)",873,,5,602,230,34,2
"Nieto(a) (082)",2925,387,2230,294,12,2,
"Padres / suegros (083)",578,,,,18,193,367
"Otro(a) pariente (084)",3759,149,1302,1255,527,362,164
"Trabajador(a) del hogar (085)",26,,2,18,2,3,1
"Pensionistas (086)",42,,1,17,17,6,1
"Otro(a) no pariente (087)",1311,15,140,568,278,233,77
"Mujeres (088)",45793,1678,19321,11265,6977,4836,1716
"Jefe o Jefa (089)",2012,,13,411,651,627,310
"Esposa(o) / compañera(o) (090)",14868,,25,4696,5593,3737,817
