"CUADRO Nº 31: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,,
,,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,,DESOCU-PADO
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA",
,,,,,,,,,,,,,
"Provincia CALCA (000)",21815,38,1107,416,250,2408,8034,975,1755,5646,74,632,480
"Agric., ganadería, caza y silvicultura (001)",12024,,9,30,1,,8028,3,27,3926,,,
"Pesca (002)",6,,,,,,6,,,,,,
"Explotación de minas y canteras (003)",38,,,1,1,,,16,1,19,,,
"Industrias manufactureras (004)",1292,,8,18,3,4,,790,465,4,,,
"Suministro de electricidad, gas y agua (005)",16,,1,1,6,,,3,,5,,,
"Construcción (006)",1108,,16,10,7,,,26,679,370,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (007)",2200,1,4,30,3,1806,,124,7,225,,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",132,,,8,,24,,96,4,,,,
"Comercio al por mayor (009)",62,1,,5,2,51,,,,3,,,
"Comercio al por menor (010)",2006,,4,17,1,1731,,28,3,222,,,
"Hoteles y restaurantes (011)",784,,7,37,16,485,,1,,238,,,
"Trans., almac. y comunicaciones (012)",919,,7,29,22,48,,,515,298,,,
"Intermediación financiera (013)",6,,,1,5,,,,,,,,
"Activid.inmobil., empres. y alquileres (014)",300,1,106,90,23,16,,2,20,42,,,
"Admin.pub. y defensa; p. segur.soc.afil (015)",400,26,30,20,101,14,,3,14,118,74,,
"Enseñanza (016)",880,8,839,10,8,,,,,15,,,
"Servicios sociales y de salud (017)",170,1,52,73,11,6,,3,4,20,,,
"Otras activ. serv.comun.soc y personales (018)",262,1,23,56,14,29,,4,23,112,,,
"Hogares privados con servicio doméstico (019)",254,,,,,,,,,254,,,
"Actividad economica no especificada (021)",676,,5,10,29,,,,,,,632,
"Desocupado (022)",480,,,,,,,,,,,,480
"Hombres (023)",15158,31,533,251,153,760,7180,642,1533,3355,73,319,328
"Agric., ganadería, caza y silvicultura (024)",9573,,8,27,1,,7174,3,27,2333,,,
"Pesca (025)",6,,,,,,6,,,,,,
"Explotación de minas y canteras (026)",38,,,1,1,,,16,1,19,,,
"Industrias manufactureras (027)",750,,5,13,2,1,,459,266,4,,,
"Suministro de electricidad, gas y agua (028)",15,,1,1,5,,,3,,5,,,
"Construcción (029)",1070,,14,10,5,,,26,667,348,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (030)",818,,2,21,1,590,,123,7,74,,,
"Venta, mant.y rep. veh.autom.y motoc. (031)",128,,,8,,20,,96,4,,,,
"Comercio al por mayor (032)",36,,,3,1,29,,,,3,,,
"Comercio al por menor (033)",654,,2,10,,541,,27,3,71,,,
"Hoteles y restaurantes (034)",157,,3,9,10,94,,1,,40,,,
"Trans., almac. y comunicaciones (035)",848,,3,12,15,35,,,505,278,,,
"Intermediación financiera (036)",4,,,1,3,,,,,,,,
"Activid.inmobil., empres. y alquileres (037)",219,1,69,63,14,16,,2,20,34,,,
"Admin.pub. y defensa; p. segur.soc.afil (038)",340,21,26,15,73,12,,2,14,104,73,,
"Enseñanza (039)",393,7,363,6,3,,,,,14,,,
"Servicios sociales y de salud (040)",55,1,17,20,5,2,,3,4,3,,,
"Otras activ. serv.comun.soc y personales (041)",158,1,18,44,7,10,,4,22,52,,,
"Hogares privados con servicio doméstico (042)",47,,,,,,,,,47,,,
"Actividad economica no especificada (044)",339,,4,8,8,,,,,,,319,
"Desocupado (045)",328,,,,,,,,,,,,328
"Mujeres (046)",6657,7,574,165,97,1648,854,333,222,2291,1,313,152
"Agric., ganadería, caza y silvicultura (047)",2451,,1,3,,,854,,,1593,,,
"Industrias manufactureras (050)",542,,3,5,1,3,,331,199,,,,
"Suministro de electricidad, gas y agua (051)",1,,,,1,,,,,,,,
"Construcción (052)",38,,2,,2,,,,12,22,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (053)",1382,1,2,9,2,1216,,1,,151,,,
"Venta, mant.y rep. veh.autom.y motoc. (054)",4,,,,,4,,,,,,,
"Comercio al por mayor (055)",26,1,,2,1,22,,,,,,,
"Comercio al por menor (056)",1352,,2,7,1,1190,,1,,151,,,
"Hoteles y restaurantes (057)",627,,4,28,6,391,,,,198,,,
"Trans., almac. y comunicaciones (058)",71,,4,17,7,13,,,10,20,,,
"Intermediación financiera (059)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (060)",81,,37,27,9,,,,,8,,,
"Admin.pub. y defensa; p. segur.soc.afil (061)",60,5,4,5,28,2,,1,,14,1,,
"Enseñanza (062)",487,1,476,4,5,,,,,1,,,
"Servicios sociales y de salud (063)",115,,35,53,6,4,,,,17,,,
"Otras activ. serv.comun.soc y personales (064)",104,,5,12,7,19,,,1,60,,,
"Hogares privados con servicio doméstico (065)",207,,,,,,,,,207,,,
"Actividad economica no especificada (067)",337,,1,2,21,,,,,,,313,
"Desocupado (068)",152,,,,,,,,,,,,152
,,,,,,,,,,,,,
"URBANA (069)",8914,29,895,345,213,2014,1416,612,1208,1607,70,213,292
"Agric., ganadería, caza y silvicultura (070)",2002,,6,22,1,,1416,3,7,547,,,
"Explotación de minas y canteras (072)",10,,,1,1,,,3,,5,,,
"Industrias manufactureras (073)",853,,7,16,3,4,,473,348,2,,,
"Suministro de electricidad, gas y agua (074)",12,,1,1,5,,,1,,4,,,
"Construcción (075)",635,,15,8,7,,,24,401,180,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (076)",1849,1,3,25,3,1548,,96,7,166,,,
"Venta, mant.y rep. veh.autom.y motoc. (077)",108,,,8,,23,,73,4,,,,
"Comercio al por mayor (078)",49,1,,2,2,41,,,,3,,,
"Comercio al por menor (079)",1692,,3,15,1,1484,,23,3,163,,,
"Hoteles y restaurantes (080)",635,,7,29,12,386,,1,,200,,,
"Trans., almac. y comunicaciones (081)",582,,4,27,16,30,,,400,105,,,
"Intermediación financiera (082)",5,,,1,4,,,,,,,,
"Activid.inmobil., empres. y alquileres (083)",240,1,95,76,20,9,,2,10,27,,,
"Admin.pub. y defensa; p. segur.soc.afil (084)",326,19,29,20,85,11,,3,12,77,70,,
"Enseñanza (085)",694,6,658,9,8,,,,,13,,,
"Servicios sociales y de salud (086)",137,1,47,57,9,2,,3,4,14,,,
"Otras activ. serv.comun.soc y personales (087)",209,1,19,44,14,24,,3,19,85,,,
"Hogares privados con servicio doméstico (088)",182,,,,,,,,,182,,,
"Actividad economica no especificada (090)",251,,4,9,25,,,,,,,213,
"Desocupado (091)",292,,,,,,,,,,,,292
"Hombres (092)",5440,24,426,215,128,643,1214,470,1044,906,69,117,184
"Agric., ganadería, caza y silvicultura (093)",1650,,5,20,1,,1214,3,7,400,,,
"Explotación de minas y canteras (095)",10,,,1,1,,,3,,5,,,
"Industrias manufactureras (096)",553,,4,12,2,1,,332,200,2,,,
"Suministro de electricidad, gas y agua (097)",11,,1,1,4,,,1,,4,,,
"Construcción (098)",602,,13,8,5,,,24,393,159,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (099)",694,,1,18,1,516,,96,7,55,,,
"Venta, mant.y rep. veh.autom.y motoc. (100)",104,,,8,,19,,73,4,,,,
"Comercio al por mayor (101)",29,,,1,1,24,,,,3,,,
"Comercio al por menor (102)",561,,1,9,,473,,23,3,52,,,
"Hoteles y restaurantes (103)",125,,3,6,8,74,,1,,33,,,
"Trans., almac. y comunicaciones (104)",526,,2,11,11,22,,,393,87,,,
"Intermediación financiera (105)",3,,,1,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (106)",168,1,60,55,11,9,,2,10,20,,,
"Admin.pub. y defensa; p. segur.soc.afil (107)",273,15,25,15,61,10,,2,12,64,69,,
"Enseñanza (108)",306,6,279,5,3,,,,,13,,,
"Servicios sociales y de salud (109)",47,1,14,18,4,1,,3,4,2,,,
"Otras activ. serv.comun.soc y personales (110)",124,1,15,37,7,10,,3,18,33,,,
"Hogares privados con servicio doméstico (111)",29,,,,,,,,,29,,,
"Actividad economica no especificada (113)",135,,4,7,7,,,,,,,117,
"Desocupado (114)",184,,,,,,,,,,,,184
"Mujeres (115)",3474,5,469,130,85,1371,202,142,164,701,1,96,108
"Agric., ganadería, caza y silvicultura (116)",352,,1,2,,,202,,,147,,,
"Industrias manufactureras (119)",300,,3,4,1,3,,141,148,,,,
"Suministro de electricidad, gas y agua (120)",1,,,,1,,,,,,,,
"Construcción (121)",33,,2,,2,,,,8,21,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (122)",1155,1,2,7,2,1032,,,,111,,,
"Venta, mant.y rep. veh.autom.y motoc. (123)",4,,,,,4,,,,,,,
"Comercio al por mayor (124)",20,1,,1,1,17,,,,,,,
"Comercio al por menor (125)",1131,,2,6,1,1011,,,,111,,,
"Hoteles y restaurantes (126)",510,,4,23,4,312,,,,167,,,
"Trans., almac. y comunicaciones (127)",56,,2,16,5,8,,,7,18,,,
"Intermediación financiera (128)",2,,,,2,,,,,,,,
"Activid.inmobil., empres. y alquileres (129)",72,,35,21,9,,,,,7,,,
"Admin.pub. y defensa; p. segur.soc.afil (130)",53,4,4,5,24,1,,1,,13,1,,
"Enseñanza (131)",388,,379,4,5,,,,,,,,
"Servicios sociales y de salud (132)",90,,33,39,5,1,,,,12,,,
"Otras activ. serv.comun.soc y personales (133)",85,,4,7,7,14,,,1,52,,,
"Hogares privados con servicio doméstico (134)",153,,,,,,,,,153,,,
"Actividad economica no especificada (136)",116,,,2,18,,,,,,,96,
"Desocupado (137)",108,,,,,,,,,,,,108
,,,,,,,,,,,,,
"RURAL (138)",12901,9,212,71,37,394,6618,363,547,4039,4,419,188
"Agric., ganadería, caza y silvicultura (139)",10022,,3,8,,,6612,,20,3379,,,
"Pesca (140)",6,,,,,,6,,,,,,
"Explotación de minas y canteras (141)",28,,,,,,,13,1,14,,,
"Industrias manufactureras (142)",439,,1,2,,,,317,117,2,,,
"Suministro de electricidad, gas y agua (143)",4,,,,1,,,2,,1,,,
"Construcción (144)",473,,1,2,,,,2,278,190,,,
"Comerc., rep. veh. autom.,motoc efect. pers. (145)",351,,1,5,,258,,28,,59,,,
"Venta, mant.y rep. veh.autom.y motoc. (146)",24,,,,,1,,23,,,,,
"Comercio al por mayor (147)",13,,,3,,10,,,,,,,
"Comercio al por menor (148)",314,,1,2,,247,,5,,59,,,
"Hoteles y restaurantes (149)",149,,,8,4,99,,,,38,,,
