"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia UTCUBAMBA (000)",107795,45821,61974
"Casa independiente (001)",103724,43424,60300
"Departamento en edificio (002)",187,187,
"Vivienda en quinta (003)",1643,1643,
"Vivienda en casa de vecindad (004)",474,474,
"Choza o cabaña (005)",1669,,1669
"Vivienda improvisada (006)",46,46,
"Local no dest.para hab. humana (007)",50,45,5
"Otro tipo (008)",2,2,
