"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia BOLIVAR (000)",5331,5191,1528,476,555,501,787,616,405,323,140,17586
"De 12 a 14 años (001)",702,699,697,2,,,,,,,3,2
"De 15 a 19 años (002)",745,730,612,98,15,5,,,,,15,143
"De 20 a 24 años (003)",506,466,100,155,128,59,22,2,,,40,693
"De 25 a 29 años (004)",504,479,34,83,149,113,88,9,3,,25,1184
"De 30 a 34 años (005)",479,466,22,52,93,97,127,66,8,1,13,1579
"De 35 a 39 años (006)",477,473,10,25,61,82,145,105,34,11,4,2103
"De 40 a 44 años (007)",437,428,13,13,30,41,127,111,57,36,9,2334
"De 45 a 49 años (008)",357,350,5,20,21,33,78,85,70,38,7,2069
"De 50 y más años (009)",1124,1100,35,28,58,71,200,238,233,237,24,7479
"Sin nivel (010)",1140,1102,79,62,87,105,211,227,179,152,38,6188
"De 12 a 14 años (011)",10,10,10,,,,,,,,,
"De 15 a 19 años (012)",28,26,18,6,1,1,,,,,2,11
"De 20 a 24 años (013)",49,47,11,8,13,10,4,1,,,2,88
"De 25 a 29 años (014)",61,55,5,7,11,16,12,2,2,,6,160
"De 30 a 34 años (015)",103,100,4,5,12,19,34,20,5,1,3,413
"De 35 a 39 años (016)",109,106,1,4,12,12,24,36,11,6,3,557
"De 40 a 44 años (017)",105,101,7,7,3,6,23,31,16,8,4,555
"De 45 a 49 años (018)",99,94,1,6,6,5,20,22,21,13,5,587
"De 50 y más años (019)",576,563,22,19,29,36,94,115,124,124,13,3817
"Educacion Inicial (020)",6,6,3,1,,2,,,,,,7
"De 15 a 19 años (022)",4,4,3,1,,,,,,,,1
"De 20 a 24 años (023)",2,2,,,,2,,,,,,6
"Primaria (030)",2585,2536,753,212,240,238,425,332,189,147,49,8674
