"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TAMBOPATA (000)",34005,990,45,5641,13673,2983,3409,3051,4213
"Agric., ganadería, caza y silvicultura (001)",5411,408,8,1700,2184,316,235,277,283
"Pesca (002)",119,2,,31,63,4,4,6,9
"Explotación de minas y canteras (003)",2021,20,3,413,1203,120,97,89,76
"Industrias manufactureras (004)",2371,54,3,374,1171,207,196,209,157
"Suministro de electricidad, gas y agua (005)",86,1,,8,26,11,11,12,17
"Construcción (006)",2636,29,2,306,1166,260,271,277,325
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",6111,191,10,1116,2541,604,566,594,489
"Venta, mant.y rep. veh.autom.y motoc. (008)",858,10,,87,356,104,128,83,90
"Comercio al por mayor (009)",291,7,,38,102,24,37,41,42
"Comercio al por menor (010)",4962,174,10,991,2083,476,401,470,357
"Hoteles y restaurantes (011)",2601,123,7,599,1161,205,148,216,142
"Trans., almac. y comunicaciones (012)",3890,38,4,468,1965,368,322,429,296
"Intermediación financiera (013)",132,,,1,20,17,18,23,53
"Activid.inmobil., empres. y de alquiler (014)",1189,6,1,54,265,142,128,163,430
"Admin.pub. y defensa; p. segur.soc.afil (015)",1314,4,,22,259,131,308,186,404
"Enseñanza (016)",1581,1,,4,70,109,560,94,743
"Servicios sociales y de salud (017)",730,2,,8,53,47,161,71,388
"Otras activ. serv.comun.soc y personales (018)",1274,31,2,165,520,161,123,142,130
"Hogares privados con servicio doméstico (019)",681,28,3,143,330,85,28,43,21
"Actividad economica no especificada (021)",1858,52,2,229,676,196,233,220,250
"Hombres (022)",22485,433,19,3476,9730,1955,2081,2071,2720
"Agric., ganadería, caza y silvicultura (023)",4537,251,4,1379,1944,271,194,242,252
"Pesca (024)",106,1,,27,59,3,3,5,8
"Explotación de minas y canteras (025)",1808,14,3,348,1089,114,88,80,72
"Industrias manufactureras (026)",1934,30,2,286,997,175,146,180,118
"Suministro de electricidad, gas y agua (027)",75,1,,7,24,9,6,11,17
"Construcción (028)",2523,25,2,294,1127,250,255,266,304
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",2761,33,2,370,1195,314,278,308,261
"Venta, mant.y rep. veh.autom.y motoc. (030)",785,6,,76,328,97,120,76,82
"Comercio al por mayor (031)",159,4,,15,63,13,21,24,19
"Comercio al por menor (032)",1817,23,2,279,804,204,137,208,160
"Hoteles y restaurantes (033)",525,5,,77,239,54,38,63,49
"Trans., almac. y comunicaciones (034)",3620,37,4,451,1881,340,270,374,263
"Intermediación financiera (035)",80,,,1,12,7,11,14,35
"Activid.inmobil., empres. y de alquiler (036)",824,2,1,38,181,89,94,110,309
"Admin.pub. y defensa; p. segur.soc.afil (037)",947,2,,7,203,86,226,138,285
"Enseñanza (038)",719,1,,4,35,34,236,46,363
"Servicios sociales y de salud (039)",317,1,,5,26,21,67,30,167
"Otras activ. serv.comun.soc y personales (040)",703,11,1,68,290,85,71,95,82
"Hogares privados con servicio doméstico (041)",82,6,,14,41,10,2,3,6
"Actividad economica no especificada (043)",924,13,,100,387,93,96,106,129
