"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia BELLAVISTA (000)",41808,10558,13174,10021,6023,2032
"Sin nivel (001)",2625,389,362,551,761,562
"Educación inicial (002)",731,687,28,16,,
"Primaria (003)",24377,8146,5666,5492,3744,1329
"Secundaria (004)",11286,1336,6000,2761,1091,98
"Superior no univ. incompleta (005)",859,,466,279,102,12
"Superior no univ. completa (006)",1109,,408,530,156,15
"Superior univ. incompleta (007)",284,,120,111,51,2
"Superior univ. completa (008)",537,,124,281,118,14
"PEA (010)",19422,763,6992,6844,3957,866
"Sin nivel (011)",917,37,140,227,334,179
"Educación inicial (012)",29,10,15,4,,
"Primaria (013)",10406,572,3169,3558,2483,624
"Secundaria (014)",5956,144,2929,2023,814,46
"Superior no univ. incompleta (015)",565,,261,220,77,7
"Superior no univ. completa (016)",884,,310,462,109,3
"Superior univ. incompleta (017)",209,,62,99,47,1
"Superior univ. completa (018)",456,,106,251,93,6
"Ocupada (020)",19097,741,6843,6745,3912,856
"Sin nivel (021)",901,33,138,223,330,177
"Educación inicial (022)",29,10,15,4,,
"Primaria (023)",10257,556,3115,3510,2460,616
"Secundaria (024)",5838,142,2860,1991,799,46
"Superior no univ. incompleta (025)",552,,253,217,75,7
"Superior no univ. completa (026)",868,,301,455,109,3
"Superior univ. incompleta (027)",206,,61,98,46,1
"Superior univ. completa (028)",446,,100,247,93,6
"Desocupada (030)",325,22,149,99,45,10
"Sin nivel (031)",16,4,2,4,4,2
