"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CHACHAPOYAS (000)",19163,48340,43161,,768,89.3,1.6
"De 12 a 14 años (001)",1733,7,7,,1,100,14.3
"De 15 a 19 años (002)",2421,351,342,106,97.4,30.2,
"De 20 a 24 años (003)",2245,1689,1650,200,97.7,11.8,
"De 25 a 29 años (004)",1909,2846,2767,166,97.2,5.8,
"De 30 a 34 años (005)",1790,3912,3770,127,96.4,3.2,
"De 35 a 39 años (006)",1756,4957,4760,106,96,2.1,
"De 40 a 44 años (007)",1576,5631,5278,53,93.7,0.9,
"De 45 a 49 años (008)",1234,4868,4488,9,92.2,0.2,
"De 50 y más años (009)",4499,24079,20099,,83.5,,
"Conviviente (010)",4012,9982,9349,380,93.7,3.8,
"De 12 a 14 años (011)",12,1,1,,100,,
"De 15 a 19 años (012)",296,204,199,60,97.5,29.4,
"De 20 a 24 años (013)",793,919,899,115,97.8,12.5,
"De 25 a 29 años (014)",793,1369,1342,85,98,6.2,
"De 30 a 34 años (015)",662,1547,1504,57,97.2,3.7,
"De 35 a 39 años (016)",493,1484,1428,45,96.2,3,
"De 40 a 44 años (017)",335,1333,1253,14,94,1.1,
"De 45 a 49 años (018)",216,926,857,4,92.5,0.4,
"De 50 y más años (019)",412,2199,1866,,84.9,,
"Separado(a) (020)",537,1898,1686,17,88.8,0.9,
"De 12 a 14 años (021)",1,1,1,,100,,
"De 15 a 19 años (022)",11,9,9,1,100,11.1,
"De 20 a 24 años (023)",34,39,39,5,100,12.8,
"De 25 a 29 años (024)",37,57,56,2,98.2,3.5,
"De 30 a 34 años (025)",73,166,163,2,98.2,1.2,
"De 35 a 39 años (026)",82,226,219,5,96.9,2.2,
"De 40 a 44 años (027)",63,186,182,2,97.8,1.1,
"De 45 a 49 años (028)",44,184,163,,88.6,,
"De 50 y más años (029)",192,1030,854,,82.9,,
"Casado(a) (030)",6181,25605,23023,259,89.9,1,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",55,32,31,6,96.9,18.8,
"De 20 a 24 años (033)",283,403,388,40,96.3,9.9,
"De 25 a 29 años (034)",496,1035,988,63,95.5,6.1,
"De 30 a 34 años (035)",672,1759,1683,60,95.7,3.4,
"De 35 a 39 años (036)",852,2736,2622,49,95.8,1.8,
