"CUADRO Nº 37: POBLACIÓN DESOCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR TIPO DE DESEMPLEO, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,
,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"TIPO DE DESEMPLEO",
,,ASPIRANTE,CESANTE
,,,
"Provincia PADRE ABAD (000)",545,106,439
"Sin nivel (001)",21,3,18
"Primaria (003)",198,31,167
"Secundaria (004)",258,60,198
"Superior no univ. incompleta (005)",23,4,19
"Superior no univ. completa (006)",22,4,18
"Superior univ. incompleta (007)",9,1,8
"Superior univ. completa (008)",14,3,11
"Hombres (010)",387,70,317
"Sin nivel (011)",8,1,7
"Primaria (013)",148,22,126
"Secundaria (014)",184,41,143
"Superior no univ. incompleta (015)",16,2,14
"Superior no univ. completa (016)",16,2,14
"Superior univ. incompleta (017)",7,1,6
"Superior univ. completa (018)",8,1,7
"Mujeres (020)",158,36,122
"Sin nivel (021)",13,2,11
"Primaria (023)",50,9,41
"Secundaria (024)",74,19,55
"Superior no univ. incompleta (025)",7,2,5
"Superior no univ. completa (026)",6,2,4
"Superior univ. incompleta (027)",2,,2
"Superior univ. completa (028)",6,2,4
,,,
"AREA URBANA (030)",379,85,294
"Sin nivel (031)",12,3,9
"Primaria (033)",110,19,91
"Secundaria (034)",197,53,144
"Superior no univ. incompleta (035)",19,3,16
"Superior no univ. completa (036)",20,3,17
"Superior univ. incompleta (037)",9,1,8
"Superior univ. completa (038)",12,3,9
"Hombres (040)",266,53,213
"Sin nivel (041)",7,1,6
"Primaria (043)",80,12,68
"Secundaria (044)",139,36,103
"Superior no univ. incompleta (045)",12,1,11
"Superior no univ. completa (046)",14,1,13
"Superior univ. incompleta (047)",7,1,6
"Superior univ. completa (048)",7,1,6
"Mujeres (050)",113,32,81
"Sin nivel (051)",5,2,3
"Primaria (053)",30,7,23
"Secundaria (054)",58,17,41
"Superior no univ. incompleta (055)",7,2,5
"Superior no univ. completa (056)",6,2,4
"Superior univ. incompleta (057)",2,,2
"Superior univ. completa (058)",5,2,3
,,,
"AREA RURAL (060)",166,21,145
"Sin nivel (061)",9,,9
"Primaria (063)",88,12,76
"Secundaria (064)",61,7,54
"Superior no univ. incompleta (065)",4,1,3
"Superior no univ. completa (066)",2,1,1
"Superior univ. completa (068)",2,,2
"Hombres (070)",121,17,104
"Sin nivel (071)",1,,1
"Primaria (073)",68,10,58
"Secundaria (074)",45,5,40
"Superior no univ. incompleta (075)",4,1,3
"Superior no univ. completa (076)",2,1,1
"Superior univ. completa (078)",1,,1
"Mujeres (080)",45,4,41
"Sin nivel (081)",8,,8
"Primaria (083)",20,2,18
"Secundaria (084)",16,2,14
"Superior univ. completa (088)",1,,1
