"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia MAYNAS (000)",102972,81102,21870
"Casa independiente (001)",83685,75211,8474
"Departamento en edificio (002)",608,608,
"Vivienda en quinta (003)",3986,3986,
"Vivienda en casa de vecindad (004)",413,413,
"Choza o cabaña (005)",13376,,13376
"Vivienda improvisada (006)",728,728,
"Local no dest.para hab. humana (007)",139,124,15
"Otro tipo (008)",37,32,5
