"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia HUARAZ (000)",144814,106888,37926
"Casa independiente (001)",136128,99421,36707
"Departamento en edificio (002)",2705,2705,
"Vivienda en quinta (003)",1829,1829,
"Vivienda en casa de vecindad (004)",2373,2373,
"Choza o cabaña (005)",1214,,1214
"Vivienda improvisada (006)",481,481,
"Local no dest.para hab. humana (007)",73,68,5
"Otro tipo (008)",11,11,
