"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia MELGAR (000)",24305,3137,3578,11502,333,5543,212
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",52,52,,,,,
"Profes., científicos e intelectuales (002)",1587,1462,,114,7,4,
"Técnicos de nivel medio y trab. asimilados (003)",520,356,,146,9,9,
"Jefes y empleados de oficina (004)",476,466,,8,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2209,261,17,1631,56,244,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",7155,1,,6954,200,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",1319,,619,561,28,111,
"Obreros construc.,conf.,papel, fab., instr. (008)",1538,115,547,830,22,24,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",8755,295,2250,944,6,5048,212
"Otra (010)",70,70,,,,,
"Ocupación no especificada (011)",624,59,145,314,5,101,
"Hombres (012)",14281,2058,2623,7411,217,1931,41
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",41,41,,,,,
"Profes., científicos e intelectuales (014)",1044,955,,83,4,2,
"Técnicos de nivel medio y trab. asimilados (015)",378,248,,120,6,4,
"Jefes y empleados de oficina (016)",266,263,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",722,162,7,477,22,54,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",5199,1,,5058,140,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",1054,,569,390,22,73,
"Obreros construc.,conf.,papel, fab., instr. (020)",1496,114,534,809,19,20,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",3694,173,1394,339,2,1745,41
"Otra (022)",67,67,,,,,
"Ocupación no especificada (023)",320,34,119,133,2,32,
"Mujeres (024)",10024,1079,955,4091,116,3612,171
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",11,11,,,,,
"Profes., científicos e intelectuales (026)",543,507,,31,3,2,
"Técnicos de nivel medio y trab. asimilados (027)",142,108,,26,3,5,
"Jefes y empleados de oficina (028)",210,203,,6,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1487,99,10,1154,34,190,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",1956,,,1896,60,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",265,,50,171,6,38,
"Obreros construc.,conf.,papel, fab., instr. (032)",42,1,13,21,3,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",5061,122,856,605,4,3303,171
"Otra (034)",3,3,,,,,
"Ocupación no especificada (035)",304,25,26,181,3,69,
,,,,,,,
"URBANA (036)",10262,2584,1385,5042,169,936,146
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",33,33,,,,,
"Profes., científicos e intelectuales (038)",1332,1236,,90,4,2,
"Técnicos de nivel medio y trab. asimilados (039)",400,267,,121,7,5,
"Jefes y empleados de oficina (040)",399,390,,8,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1978,195,5,1498,50,230,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",1208,1,,1154,53,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",787,,254,471,26,36,
"Obreros construc.,conf.,papel, fab., instr. (044)",1233,97,415,689,20,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",2461,258,597,853,6,601,146
"Otra (046)",62,62,,,,,
"Ocupación no especificada (047)",369,45,114,158,3,49,
"Hombres (048)",6039,1619,1170,2755,106,363,26
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",25,25,,,,,
"Profes., científicos e intelectuales (050)",842,777,,63,2,,
"Técnicos de nivel medio y trab. asimilados (051)",279,174,,98,6,1,
"Jefes y empleados de oficina (052)",205,202,,2,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",599,111,,416,21,51,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",866,1,,828,37,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",585,,222,324,20,19,
"Obreros construc.,conf.,papel, fab., instr. (056)",1196,96,403,671,17,9,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",1176,148,451,284,2,265,26
"Otra (058)",59,59,,,,,
"Ocupación no especificada (059)",207,26,94,69,1,17,
"Mujeres (060)",4223,965,215,2287,63,573,120
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",8,8,,,,,
"Profes., científicos e intelectuales (062)",490,459,,27,2,2,
"Técnicos de nivel medio y trab. asimilados (063)",121,93,,23,1,4,
"Jefes y empleados de oficina (064)",194,188,,6,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1379,84,5,1082,29,179,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",342,,,326,16,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",202,,32,147,6,17,
"Obreros construc.,conf.,papel, fab., instr. (068)",37,1,12,18,3,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",1285,110,146,569,4,336,120
"Otra (070)",3,3,,,,,
"Ocupación no especificada (071)",162,19,20,89,2,32,
,,,,,,,
"RURAL (072)",14043,553,2193,6460,164,4607,66
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",19,19,,,,,
"Profes., científicos e intelectuales (074)",255,226,,24,3,2,
"Técnicos de nivel medio y trab. asimilados (075)",120,89,,25,2,4,
"Jefes y empleados de oficina (076)",77,76,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",231,66,12,133,6,14,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",5947,,,5800,147,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",532,,365,90,2,75,
"Obreros construc.,conf.,papel, fab., instr. (080)",305,18,132,141,2,12,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",6294,37,1653,91,,4447,66
"Otra (082)",8,8,,,,,
"Ocupación no especificada (083)",255,14,31,156,2,52,
"Hombres (084)",8242,439,1453,4656,111,1568,15
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",16,16,,,,,
"Profes., científicos e intelectuales (086)",202,178,,20,2,2,
"Técnicos de nivel medio y trab. asimilados (087)",99,74,,22,,3,
"Jefes y empleados de oficina (088)",61,61,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",123,51,7,61,1,3,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",4333,,,4230,103,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",469,,347,66,2,54,
"Obreros construc.,conf.,papel, fab., instr. (092)",300,18,131,138,2,11,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",2518,25,943,55,,1480,15
"Otra (094)",8,8,,,,,
"Ocupación no especificada (095)",113,8,25,64,1,15,
"Mujeres (096)",5801,114,740,1804,53,3039,51
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
