"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia YUNGAY (000)",51656,2516,6486,7087,5660,8837,6991,10114,3965
"Sabe leer y escribir (001)",36284,,3904,6812,5303,7576,5400,5830,1459
"No sabe leer y escribir (002)",15372,2516,2582,275,357,1261,1591,4284,2506
"Hombres (004)",25411,1300,3196,3603,2864,4347,3349,4883,1869
"Sabe leer y escribir (005)",20058,,1958,3509,2777,4116,3010,3708,980
"No sabe leer y escribir (006)",5353,1300,1238,94,87,231,339,1175,889
"Mujeres (008)",26245,1216,3290,3484,2796,4490,3642,5231,2096
"Sabe leer y escribir (009)",16226,,1946,3303,2526,3460,2390,2122,479
"No sabe leer y escribir (010)",10019,1216,1344,181,270,1030,1252,3109,1617
,,,,,,,,,
"URBANA (012)",12611,481,1223,1417,1430,2428,1867,2708,1057
"Sabe leer y escribir (013)",10746,,896,1398,1409,2343,1757,2244,699
"No sabe leer y escribir (014)",1865,481,327,19,21,85,110,464,358
"Hombres (016)",6343,256,616,743,741,1285,867,1328,507
"Sabe leer y escribir (017)",5676,,469,735,737,1262,843,1223,407
"No sabe leer y escribir (018)",667,256,147,8,4,23,24,105,100
"Mujeres (020)",6268,225,607,674,689,1143,1000,1380,550
"Sabe leer y escribir (021)",5070,,427,663,672,1081,914,1021,292
"No sabe leer y escribir (022)",1198,225,180,11,17,62,86,359,258
,,,,,,,,,
"RURAL (024)",39045,2035,5263,5670,4230,6409,5124,7406,2908
"Sabe leer y escribir (025)",25538,,3008,5414,3894,5233,3643,3586,760
"No sabe leer y escribir (026)",13507,2035,2255,256,336,1176,1481,3820,2148
"Hombres (028)",19068,1044,2580,2860,2123,3062,2482,3555,1362
"Sabe leer y escribir (029)",14382,,1489,2774,2040,2854,2167,2485,573
"No sabe leer y escribir (030)",4686,1044,1091,86,83,208,315,1070,789
"Mujeres (032)",19977,991,2683,2810,2107,3347,2642,3851,1546
"Sabe leer y escribir (033)",11156,,1519,2640,1854,2379,1476,1101,187
"No sabe leer y escribir (034)",8821,991,1164,170,253,968,1166,2750,1359
