"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CAJAMARCA (000)",105224,31629,20172,40256,2266,7211,3690
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",287,236,,,51,,
"Profes., científicos e intelectuales (002)",12965,10965,,1776,195,29,
"Técnicos de nivel medio y trab. asimilados (003)",5491,4027,,1111,314,35,4
"Jefes y empleados de oficina (004)",4439,4417,,10,,12,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",11696,4250,98,6029,401,918,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",17679,15,4,17157,503,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",10318,,4970,4750,407,191,
"Obreros construc.,conf., papel, fab., instr. (008)",12345,2606,4752,4592,271,121,3
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",25540,3037,9943,3370,38,5469,3683
"Otra (010)",561,561,,,,,
"Ocupación no especificada (011)",3903,1515,405,1461,86,436,
"Hombres (012)",73495,18257,18687,30540,1717,4185,109
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",201,172,,,29,,
"Profes., científicos e intelectuales (014)",6881,5589,,1141,140,11,
"Técnicos de nivel medio y trab. asimilados (015)",3649,2650,,763,221,14,1
"Jefes y empleados de oficina (016)",2050,2043,,5,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",5080,2263,55,2385,193,184,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",16321,15,4,15848,454,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",9067,,4644,3952,358,113,
"Obreros construc.,conf., papel, fab., instr. (020)",12029,2562,4655,4440,260,109,3
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",15817,1668,9024,1383,17,3620,105
"Otra (022)",513,513,,,,,
"Ocupación no especificada (023)",1887,782,305,623,45,132,
"Mujeres (024)",31729,13372,1485,9716,549,3026,3581
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",86,64,,,22,,
"Profes., científicos e intelectuales (026)",6084,5376,,635,55,18,
"Técnicos de nivel medio y trab. asimilados (027)",1842,1377,,348,93,21,3
"Jefes y empleados de oficina (028)",2389,2374,,5,,10,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",6616,1987,43,3644,208,734,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1358,,,1309,49,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",1251,,326,798,49,78,
"Obreros construc.,conf., papel, fab., instr. (032)",316,44,97,152,11,12,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",9723,1369,919,1987,21,1849,3578
"Otra (034)",48,48,,,,,
"Ocupación no especificada (035)",2016,733,100,838,41,304,
,,,,,,,
"URBANA (036)",65667,28580,10030,20709,1703,1791,2854
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",260,209,,,51,,
"Profes., científicos e intelectuales (038)",12309,10402,,1695,183,29,
"Técnicos de nivel medio y trab. asimilados (039)",4949,3595,,1025,293,33,3
"Jefes y empleados de oficina (040)",4073,4053,,8,,12,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",10336,3749,80,5289,382,836,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",2111,9,,1985,117,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",6582,,2740,3385,353,104,
"Obreros construc.,conf., papel, fab., instr. (044)",8761,2152,2896,3422,212,76,3
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",12607,2481,4034,2721,35,488,2848
"Otra (046)",530,530,,,,,
"Ocupación no especificada (047)",3149,1400,280,1179,77,213,
"Hombres (048)",40780,16077,9311,13399,1212,691,90
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",182,153,,,29,,
"Profes., científicos e intelectuales (050)",6490,5260,,1089,130,11,
"Técnicos de nivel medio y trab. asimilados (051)",3211,2302,,694,202,13,
"Jefes y empleados de oficina (052)",1827,1821,,4,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",4409,1934,46,2087,182,160,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",1856,9,,1741,106,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",5775,,2546,2854,309,66,
"Obreros construc.,conf., papel, fab., instr. (056)",8506,2112,2830,3293,201,67,3
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",6457,1279,3663,1112,14,302,87
"Otra (058)",483,483,,,,,
"Ocupación no especificada (059)",1584,724,226,525,39,70,
"Mujeres (060)",24887,12503,719,7310,491,1100,2764
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",78,56,,,22,,
"Profes., científicos e intelectuales (062)",5819,5142,,606,53,18,
"Técnicos de nivel medio y trab. asimilados (063)",1738,1293,,331,91,20,3
"Jefes y empleados de oficina (064)",2246,2232,,4,,10,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",5927,1815,34,3202,200,676,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",255,,,244,11,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",807,,194,531,44,38,
"Obreros construc.,conf., papel, fab., instr. (068)",255,40,66,129,11,9,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",6150,1202,371,1609,21,186,2761
"Otra (070)",47,47,,,,,
"Ocupación no especificada (071)",1565,676,54,654,38,143,
,,,,,,,
"RURAL (072)",39557,3049,10142,19547,563,5420,836
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",27,27,,,,,
"Profes., científicos e intelectuales (074)",656,563,,81,12,,
"Técnicos de nivel medio y trab. asimilados (075)",542,432,,86,21,2,1
"Jefes y empleados de oficina (076)",366,364,,2,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",1360,501,18,740,19,82,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",15568,6,4,15172,386,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",3736,,2230,1365,54,87,
"Obreros construc.,conf., papel, fab., instr. (080)",3584,454,1856,1170,59,45,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",12933,556,5909,649,3,4981,835
"Otra (082)",31,31,,,,,
"Ocupación no especificada (083)",754,115,125,282,9,223,
"Hombres (084)",32715,2180,9376,17141,505,3494,19
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",19,19,,,,,
"Profes., científicos e intelectuales (086)",391,329,,52,10,,
"Técnicos de nivel medio y trab. asimilados (087)",438,348,,69,19,1,1
"Jefes y empleados de oficina (088)",223,222,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",671,329,9,298,11,24,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",14465,6,4,14107,348,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",3292,,2098,1098,49,47,
"Obreros construc.,conf., papel, fab., instr. (092)",3523,450,1825,1147,59,42,
