"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia BONGARA (000)",10037,638,16,5211,2584,275,617,195,501
"Agric., ganadería, caza y silvicultura (001)",5972,518,9,3966,1227,44,69,39,100
"Pesca (002)",9,,,6,2,,,1,
"Explotación de minas y canteras (003)",67,,,15,30,7,4,1,10
"Industrias manufactureras (004)",274,10,,108,115,13,11,10,7
"Suministro de electricidad, gas y agua (005)",6,,,3,,,2,,1
"Construcción (006)",414,5,1,148,187,16,20,11,26
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1069,43,1,421,421,46,56,26,55
"Venta, mant.y rep. veh.autom.y motoc. (008)",75,4,,8,29,8,13,1,12
"Comercio al por mayor (009)",58,2,,22,26,1,2,3,2
"Comercio al por menor (010)",936,37,1,391,366,37,41,22,41
"Hoteles y restaurantes (011)",199,7,1,83,84,12,7,3,2
"Trans., almac. y comunicaciones (012)",439,7,2,111,207,28,36,18,30
"Intermediación financiera (013)",5,,,,,,2,,3
"Activid.inmobil., empres. y de alquiler (014)",181,1,,22,42,23,46,12,35
"Admin.pub. y defensa; p. segur.soc.afil (015)",246,1,,25,64,21,80,19,36
"Enseñanza (016)",425,,,,21,33,213,31,127
"Servicios sociales y de salud (017)",110,,,2,1,7,39,11,50
"Otras activ. serv.comun.soc y personales (018)",120,2,1,31,47,12,15,4,8
"Hogares privados con servicio doméstico (019)",181,15,,105,55,2,2,1,1
"Actividad economica no especificada (021)",320,29,1,165,81,11,15,8,10
"Hombres (022)",7505,386,12,4004,2039,201,372,139,352
"Agric., ganadería, caza y silvicultura (023)",5045,356,8,3337,1116,40,61,33,94
"Pesca (024)",9,,,6,2,,,1,
"Explotación de minas y canteras (025)",60,,,15,27,7,3,,8
"Industrias manufactureras (026)",206,4,,78,93,11,7,8,5
"Suministro de electricidad, gas y agua (027)",6,,,3,,,2,,1
"Construcción (028)",406,5,1,146,184,16,20,11,23
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",558,11,,179,252,32,33,14,37
"Venta, mant.y rep. veh.autom.y motoc. (030)",73,3,,8,29,8,13,1,11
"Comercio al por mayor (031)",35,,,14,18,1,1,1,
"Comercio al por menor (032)",450,8,,157,205,23,19,12,26
"Hoteles y restaurantes (033)",36,,,15,14,2,3,1,1
"Trans., almac. y comunicaciones (034)",423,7,2,110,199,27,34,17,27
"Intermediación financiera (035)",3,,,,,,2,,1
"Activid.inmobil., empres. y de alquiler (036)",145,,,20,31,18,34,10,32
"Admin.pub. y defensa; p. segur.soc.afil (037)",185,1,,21,44,15,56,17,31
"Enseñanza (038)",172,,,,8,10,88,13,53
"Servicios sociales y de salud (039)",50,,,1,,5,12,7,25
"Otras activ. serv.comun.soc y personales (040)",79,,1,18,29,10,10,3,8
"Hogares privados con servicio doméstico (041)",2,,,,1,,,1,
"Actividad economica no especificada (043)",120,2,,55,39,8,7,3,6
"Mujeres (044)",2532,252,4,1207,545,74,245,56,149
"Agric., ganadería, caza y silvicultura (045)",927,162,1,629,111,4,8,6,6
