"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia BONGARA (000)",10037,8571,479,408,579
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",42,,2,3,37
"Profes., científicos e intelectuales (002)",546,159,91,160,136
"Técnicos de nivel medio y trab. asimilados (003)",201,86,22,32,61
"Jefes y empleados de oficina (004)",161,26,17,34,84
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",969,899,45,13,12
"Agricult.trabaj.calif.agrop.y pesqueros (006)",3898,3832,65,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",355,292,21,33,9
"Obreros construc.,conf.,papel, fab., instr. (008)",672,500,45,62,65
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",2815,2525,160,59,71
"Otra (010)",75,,,,75
"Ocupación no especificada (011)",303,252,11,11,29
"Hombres (012)",7505,6438,369,286,412
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",29,,2,1,26
"Profes., científicos e intelectuales (014)",265,68,52,79,66
"Técnicos de nivel medio y trab. asimilados (015)",140,61,19,26,34
"Jefes y empleados de oficina (016)",90,14,8,21,47
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",427,384,28,6,9
"Agricult.trabaj.calif.agrop.y pesqueros (018)",3522,3466,56,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",292,232,20,31,9
"Obreros construc.,conf.,papel, fab., instr. (020)",665,494,44,62,65
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",1892,1652,131,52,57
"Otra (022)",72,,,,72
"Ocupación no especificada (023)",111,67,9,8,27
"Mujeres (024)",2532,2133,110,122,167
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",13,,,2,11
"Profes., científicos e intelectuales (026)",281,91,39,81,70
"Técnicos de nivel medio y trab. asimilados (027)",61,25,3,6,27
"Jefes y empleados de oficina (028)",71,12,9,13,37
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",542,515,17,7,3
"Agricult.trabaj.calif.agrop.y pesqueros (030)",376,366,9,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",63,60,1,2,
"Obreros construc.,conf.,papel, fab., instr. (032)",7,6,1,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",923,873,29,7,14
"Otra (034)",3,,,,3
