"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia ANTA (000)",20081,63973,55842,,831,87.3,1.3
"De 12 a 14 años (001)",2339,3,3,,,100,
"De 15 a 19 años (002)",2611,302,297,92,98.3,30.5,
"De 20 a 24 años (003)",1864,1589,1553,191,97.7,12,
"De 25 a 29 años (004)",1700,3155,3066,187,97.2,5.9,
"De 30 a 34 años (005)",1644,4876,4650,168,95.4,3.4,
"De 35 a 39 años (006)",1760,6803,6373,118,93.7,1.7,
"De 40 a 44 años (007)",1603,7727,7105,68,92,0.9,
"De 45 a 49 años (008)",1403,7749,6830,7,88.1,0.1,
"De 50 y más años (009)",5157,31769,25965,,81.7,,
"Conviviente (010)",4562,13188,12332,517,93.5,3.9,
"De 12 a 14 años (011)",22,2,2,,100,,
"De 15 a 19 años (012)",272,210,205,66,97.6,31.4,
"De 20 a 24 años (013)",917,1241,1209,151,97.4,12.2,
"De 25 a 29 años (014)",974,2012,1959,137,97.4,6.8,
"De 30 a 34 años (015)",783,2293,2217,87,96.7,3.8,
"De 35 a 39 años (016)",615,2347,2218,56,94.5,2.4,
"De 40 a 44 años (017)",372,1725,1607,17,93.2,1,
"De 45 a 49 años (018)",246,1344,1216,3,90.5,0.2,
"De 50 y más años (019)",361,2014,1699,,84.4,,
"Separado(a) (020)",589,1467,1342,36,91.5,2.5,
"De 12 a 14 años (021)",1,1,1,,100,,
"De 15 a 19 años (022)",31,29,29,10,100,34.5,
"De 20 a 24 años (023)",97,107,107,18,100,16.8,
"De 25 a 29 años (024)",102,176,170,2,96.6,1.1,
"De 30 a 34 años (025)",73,166,158,4,95.2,2.4,
"De 35 a 39 años (026)",93,232,226,1,97.4,0.4,
"De 40 a 44 años (027)",57,173,165,1,95.4,0.6,
"De 45 a 49 años (028)",44,150,121,,80.7,,
"De 50 y más años (029)",91,433,365,,84.3,,
"Casado(a) (030)",6807,36438,32010,235,87.8,0.6,
"De 12 a 14 años (031)",2,,,,,,
"De 15 a 19 años (032)",22,20,20,2,100,10,
"De 20 a 24 años (033)",90,163,160,8,98.2,4.9,
"De 25 a 29 años (034)",350,886,858,47,96.8,5.3,
"De 30 a 34 años (035)",630,2235,2099,70,93.9,3.1,
"De 35 a 39 años (036)",920,3893,3628,56,93.2,1.4,
