"CUADRO Nº 7: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CARLOS FERMIN FITZCARRALD (000)",7719,25308,21097,,458,83.4,1.8
"De 12 a 14 años (001)",902,1,1,,,100,
"De 15 a 19 años (002)",1109,180,176,57,97.8,31.7,
"De 20 a 24 años (003)",754,750,725,114,96.7,15.2,
"De 25 a 29 años (004)",704,1407,1355,114,96.3,8.1,
"De 30 a 34 años (005)",663,2025,1916,79,94.6,3.9,
"De 35 a 39 años (006)",562,2471,2272,59,91.9,2.4,
"De 40 a 44 años (007)",519,2732,2444,28,89.5,1,
"De 45 a 49 años (008)",453,2810,2405,7,85.6,0.2,
"De 50 y más años (009)",2053,12932,9803,,75.8,,
"Sin nivel (010)",3074,17372,13707,131,78.9,0.8,
"De 12 a 14 años (011)",20,,,,,,
"De 15 a 19 años (012)",28,15,15,1,100,6.7,
"De 20 a 24 años (013)",80,89,88,12,98.9,13.5,
"De 25 a 29 años (014)",104,245,229,22,93.5,9,
"De 30 a 34 años (015)",233,802,742,30,92.5,3.7,
"De 35 a 39 años (016)",245,1210,1089,37,90,3.1,
"De 40 a 44 años (017)",283,1639,1435,24,87.6,1.5,
"De 45 a 49 años (018)",307,2038,1715,5,84.2,0.2,
"De 50 y más años (019)",1774,11334,8394,,74.1,,
"Educacion Inicial (020)",22,46,43,2,93.5,4.3,
"De 12 a 14 años (021)",1,,,,,,
"De 15 a 19 años (022)",3,,,,,,
"De 20 a 24 años (023)",6,8,7,1,87.5,12.5,
"De 25 a 29 años (024)",4,4,4,,100,,
"De 30 a 34 años (025)",2,8,8,1,100,12.5,
"De 35 a 39 años (026)",6,26,24,,92.3,,
"Primaria (030)",2506,5352,4886,180,91.3,3.4,
"De 12 a 14 años (031)",655,,,,,,
"De 15 a 19 años (032)",447,92,90,23,97.8,25,
"De 20 a 24 años (033)",278,342,329,54,96.2,15.8,
"De 25 a 29 años (034)",282,700,673,56,96.1,8,
"De 30 a 34 años (035)",216,765,724,28,94.6,3.7,
"De 35 a 39 años (036)",185,837,779,14,93.1,1.7,
"De 40 a 44 años (037)",152,830,751,3,90.5,0.4,
"De 45 a 49 años (038)",100,596,521,2,87.4,0.3,
"De 50 y más años (039)",191,1190,1019,,85.6,,
"Secundaria (040)",1518,1531,1479,112,96.6,7.3,
