"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia TRUJILLO (000)",316229,8786,350,54546,108238,23385,39950,21923,59051
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",990,1,,11,69,20,126,80,683
"Profes., científicos e intelectuales (002)",40211,,,1,686,1129,4462,3316,30617
"Técnicos de nivel medio ytrab.asimilados (003)",23352,41,4,354,3457,3124,7451,3244,5677
"Jefes y empleados de oficina (004)",18184,17,2,240,4091,1688,4399,2400,5347
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",62600,2145,67,11203,24724,5482,8097,4622,6260
"Agricult.trabaj. calif.agrop. y pesquros (006)",6920,545,9,2932,2179,267,336,208,444
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",45824,978,60,9347,22065,3429,5244,2056,2645
"Obreros. construc., conf., papel, fab., instr (008)",42366,817,37,8735,20584,3100,3755,2407,2931
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",68309,4009,163,20573,28000,4551,4711,3008,3294
"Otra (010)",1804,,,,348,156,798,150,352
"Ocupación no especificada (011)",5669,233,8,1150,2035,439,571,432,801
"Hombres (012)",197197,3618,208,34610,74911,14582,21595,14328,33345
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",670,1,,10,56,15,67,67,454
"Profes., científicos e intelectuales (014)",19878,,,,292,546,1384,1898,15758
"Técnicos de nivel medio ytrab.asimilados (015)",14523,23,3,218,2388,2208,4085,2180,3418
"Jefes y empleados de oficina (016)",8936,9,1,165,2405,807,1600,1237,2712
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",27304,408,32,4249,11599,2324,3055,2555,3082
"Agricult.trabaj. calif.agrop. y pesquros (018)",6155,407,7,2655,1985,227,294,183,397
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",36974,652,46,7605,18101,2727,4071,1687,2085
"Obreros. construc., conf., papel, fab., instr (020)",41090,765,35,8524,20107,2967,3594,2309,2789
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",36871,1271,79,10636,16405,2395,2408,1820,1857
"Otra (022)",1677,,,,337,137,738,137,328
"Ocupación no especificada (023)",3119,82,5,548,1236,229,299,255,465
"Mujeres (024)",119032,5168,142,19936,33327,8803,18355,7595,25706
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",320,,,1,13,5,59,13,229
"Profes., científicos e intelectuales (026)",20333,,,1,394,583,3078,1418,14859
"Técnicos de nivel medio ytrab.asimilados (027)",8829,18,1,136,1069,916,3366,1064,2259
"Jefes y empleados de oficina (028)",9248,8,1,75,1686,881,2799,1163,2635
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",35296,1737,35,6954,13125,3158,5042,2067,3178
"Agricult.trabaj. calif.agrop. y pesquros (030)",765,138,2,277,194,40,42,25,47
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",8850,326,14,1742,3964,702,1173,369,560
"Obreros. construc., conf., papel, fab., instr (032)",1276,52,2,211,477,133,161,98,142
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",31438,2738,84,9937,11595,2156,2303,1188,1437
