"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia TUMBES (000)",51729,34740,5304,4736,6949
"Agric., ganadería, caza y silvicultura (001)",8180,7064,781,270,65
"Pesca (002)",2438,1628,284,323,203
"Explotación de minas y canteras (003)",46,22,3,4,17
"Industrias manufactureras (004)",3698,2256,338,421,683
"Suministro de electricidad, gas y agua (005)",110,35,13,34,28
"Construcción (006)",2987,2027,516,310,134
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",9525,8435,719,315,56
"Venta, mant.y rep. veh.autom y motoc. (008)",1036,881,113,36,6
"Comercio al por mayor (009)",572,333,75,114,50
"Comercio al por menor (010)",7917,7221,531,165,
"Hoteles y restaurantes (011)",2756,2300,303,113,40
"Trans., almac. y comunicaciones (012)",6069,5116,491,260,202
"Intermediación financiera (013)",266,55,46,123,42
"Activid.inmobil., empres. y alquileres (014)",2476,1275,374,474,353
"Admin.pub. y defensa; p. segur soc.afil (015)",3358,,,,3358
"Enseñanza (016)",4226,636,916,1665,1009
"Servicios sociales y de salud (017)",920,229,80,69,542
"Otras activ. serv.comun.soc y personales (018)",1914,1297,266,219,132
"Hogares privados con servicio doméstico (019)",1230,1230,,,
"Organiz. y organos extraterritoriales (020)",1,,1,,
"Actividad economica no especificada (021)",1529,1135,173,136,85
"Hombres (022)",36729,25413,3846,2961,4509
"Agric., ganadería, caza y silvicultura (023)",7973,6919,765,235,54
"Pesca (024)",2326,1578,273,305,170
"Explotación de minas y canteras (025)",43,21,3,4,15
"Industrias manufactureras (026)",2666,1775,270,268,353
"Suministro de electricidad, gas y agua (027)",105,35,10,34,26
"Construcción (028)",2924,1993,507,299,125
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",5631,4900,498,189,44
"Venta, mant.y rep. veh.autom y motoc. (030)",941,812,96,27,6
"Comercio al por mayor (031)",372,197,56,81,38
"Comercio al por menor (032)",4318,3891,346,81,
"Hoteles y restaurantes (033)",980,731,151,63,35
"Trans., almac. y comunicaciones (034)",5800,4940,453,228,179
"Intermediación financiera (035)",151,32,29,67,23
"Activid.inmobil., empres. y alquileres (036)",1880,960,280,372,268
"Admin.pub. y defensa; p. segur soc.afil (037)",2392,,,,2392
"Enseñanza (038)",1589,145,304,647,493
"Servicios sociales y de salud (039)",343,76,20,35,212
