"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia PALLASCA (000)",565,17,270,162,96,20
"Conviviente (001)",161,,54,72,32,3
"Separado(a) (002)",7,,2,3,2,
"Casado(a) (003)",126,,16,49,50,11
"Viudo(a) (004)",8,,1,,3,4
"Divorciado(a) (005)",4,,1,1,2,
"Soltero(a) (006)",259,17,196,37,7,2
"Hombres (008)",455,8,195,144,90,18
"Conviviente (009)",141,,43,65,30,3
"Separado(a) (010)",4,,,2,2,
"Casado(a) (011)",117,,13,45,48,11
"Viudo(a) (012)",7,,1,,3,3
"Divorciado(a) (013)",3,,1,1,1,
"Soltero(a) (014)",183,8,137,31,6,1
"Mujeres (016)",110,9,75,18,6,2
"Conviviente (017)",20,,11,7,2,
"Separado(a) (018)",3,,2,1,,
"Casado(a) (019)",9,,3,4,2,
"Viudo(a) (020)",1,,,,,1
"Divorciado(a) (021)",1,,,,1,
"Soltero(a) (022)",76,9,59,6,1,1
,,,,,,
"AREA URBANA (024)",306,3,152,85,54,12
"Conviviente (025)",89,,30,37,20,2
"Separado(a) (026)",5,,1,2,2,
"Casado(a) (027)",66,,9,23,26,8
"Viudo(a) (028)",3,,1,,1,1
"Divorciado(a) (029)",2,,1,,1,
"Soltero(a) (030)",141,3,110,23,4,1
"Hombres (032)",245,1,112,70,50,12
"Conviviente (033)",74,,22,32,18,2
"Separado(a) (034)",3,,,1,2,
"Casado(a) (035)",57,,6,19,24,8
"Viudo(a) (036)",3,,1,,1,1
"Divorciado(a) (037)",2,,1,,1,
"Soltero(a) (038)",106,1,82,18,4,1
"Mujeres (040)",61,2,40,15,4,
"Conviviente (041)",15,,8,5,2,
"Separado(a) (042)",2,,1,1,,
"Casado(a) (043)",9,,3,4,2,
"Soltero(a) (046)",35,2,28,5,,
,,,,,,
"AREA RURAL (048)",259,14,118,77,42,8
"Conviviente (049)",72,,24,35,12,1
"Separado(a) (050)",2,,1,1,,
"Casado(a) (051)",60,,7,26,24,3
"Viudo(a) (052)",5,,,,2,3
"Divorciado(a) (053)",2,,,1,1,
"Soltero(a) (054)",118,14,86,14,3,1
"Hombres (056)",210,7,83,74,40,6
"Conviviente (057)",67,,21,33,12,1
"Separado(a) (058)",1,,,1,,
"Casado(a) (059)",60,,7,26,24,3
"Viudo(a) (060)",4,,,,2,2
"Divorciado(a) (061)",1,,,1,,
"Soltero(a) (062)",77,7,55,13,2,
"Mujeres (064)",49,7,35,3,2,2
"Conviviente (065)",5,,3,2,,
"Separado(a) (066)",1,,1,,,
"Viudo(a) (068)",1,,,,,1
"Divorciado(a) (069)",1,,,,1,
"Soltero(a) (070)",41,7,31,1,1,1
