"CUADRO Nº 2: POBLACIÓN TOTAL, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y TIPO DE VIVIENDA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia TRUJILLO (000)",811979,14029,207579,238302,167390,130675,54004
"Hombres (001)",392486,7136,105403,115755,78901,60638,24653
"Mujeres (002)",419493,6893,102176,122547,88489,70037,29351
"Viviendas particulares (003)",805409,13952,207184,235348,165431,129764,53730
"Hombres (004)",387626,7094,105180,113532,77353,59974,24493
"Mujeres (005)",417783,6858,102004,121816,88078,69790,29237
"Viviendas colectivas (006)",5986,77,361,2713,1781,801,253
"Hombres (007)",4448,42,206,2065,1408,581,146
"Mujeres (008)",1538,35,155,648,373,220,107
"Otro tipo (009)",584,,34,241,178,110,21
"Hombres (010)",412,,17,158,140,83,14
"Mujeres (011)",172,,17,83,38,27,7
,,,,,,,
"URBANA (012)",792355,13656,201692,232871,163562,127860,52714
"Hombres (013)",382402,6973,102434,112910,76941,59180,23964
"Mujeres (014)",409953,6683,99258,119961,86621,68680,28750
"Viviendas particulares (015)",785917,13579,201301,230039,161608,126950,52440
"Hombres (016)",377670,6931,102214,110808,75397,58516,23804
"Mujeres (017)",408247,6648,99087,119231,86211,68434,28636
"Viviendas colectivas (018)",5854,77,357,2591,1776,800,253
"Hombres (019)",4320,42,203,1944,1404,581,146
"Mujeres (020)",1534,35,154,647,372,219,107
"Otro tipo (021)",584,,34,241,178,110,21
"Hombres (022)",412,,17,158,140,83,14
"Mujeres (023)",172,,17,83,38,27,7
,,,,,,,
"RURAL (024)",19624,373,5887,5431,3828,2815,1290
"Hombres (025)",10084,163,2969,2845,1960,1458,689
"Mujeres (026)",9540,210,2918,2586,1868,1357,601
"Viviendas particulares (027)",19492,373,5883,5309,3823,2814,1290
"Hombres (028)",9956,163,2966,2724,1956,1458,689
"Mujeres (029)",9536,210,2917,2585,1867,1356,601
"Viviendas colectivas (030)",132,,4,122,5,1,
"Hombres (031)",128,,3,121,4,,
"Mujeres (032)",4,,1,1,1,1,
