"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia VICTOR FAJARDO (000)",9891,34936,28548,,441,81.7,1.3
"De 12 a 14 años (001)",929,3,3,,,100,
"De 15 a 19 años (002)",1022,163,157,59,96.3,36.2,
"De 20 a 24 años (003)",802,796,780,105,98,13.2,
"De 25 a 29 años (004)",812,1484,1419,89,95.6,6,
"De 30 a 34 años (005)",758,2079,1971,92,94.8,4.4,
"De 35 a 39 años (006)",743,2661,2440,48,91.7,1.8,
"De 40 a 44 años (007)",704,3280,2909,42,88.7,1.3,
"De 45 a 49 años (008)",608,3241,2825,6,87.2,0.2,
"De 50 y más años (009)",3513,21229,16044,,75.6,,
"PEA (010)",2798,10258,8595,108,83.8,1.1,
"De 12 a 14 años (011)",54,,,,,,
"De 15 a 19 años (012)",132,32,31,8,96.9,25,
"De 20 a 24 años (013)",245,215,212,25,98.6,11.6,
"De 25 a 29 años (014)",331,512,490,31,95.7,6.1,
"De 30 a 34 años (015)",277,639,618,19,96.7,3,
"De 35 a 39 años (016)",308,989,905,14,91.5,1.4,
"De 40 a 44 años (017)",253,1096,993,9,90.6,0.8,
"De 45 a 49 años (018)",234,1142,1003,2,87.8,0.2,
"De 50 y más años (019)",964,5633,4343,,77.1,,
"Ocupada (020)",2707,10121,8468,105,83.7,1,
"De 12 a 14 años (021)",50,,,,,,
"De 15 a 19 años (022)",117,30,30,7,100,23.3,
"De 20 a 24 años (023)",223,204,201,25,98.5,12.3,
"De 25 a 29 años (024)",313,491,469,29,95.5,5.9,
"De 30 a 34 años (025)",265,611,591,19,96.7,3.1,
"De 35 a 39 años (026)",305,981,897,14,91.4,1.4,
"De 40 a 44 años (027)",244,1070,967,9,90.4,0.8,
"De 45 a 49 años (028)",232,1133,994,2,87.7,0.2,
"De 50 y más años (029)",958,5601,4319,,77.1,,
"Desocupada (030)",91,137,127,3,92.7,2.2,
"De 12 a 14 años (031)",4,,,,,,
"De 15 a 19 años (032)",15,2,1,1,50,50,
"De 20 a 24 años (033)",22,11,11,,100,,
"De 25 a 29 años (034)",18,21,21,2,100,9.5,
"De 30 a 34 años (035)",12,28,27,,96.4,,
"De 35 a 39 años (036)",3,8,8,,100,,
"De 40 a 44 años (037)",9,26,26,,100,,
"De 45 a 49 años (038)",2,9,9,,100,,
