"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia LAURICOCHA (000)",11609,36375,32381,,685,89,1.9
"De 12 a 14 años (001)",1461,4,4,,1,100,25
"De 15 a 19 años (002)",1604,252,246,81,97.6,32.1,
"De 20 a 24 años (003)",1219,1158,1126,167,97.2,14.4,
"De 25 a 29 años (004)",1154,2171,2098,132,96.6,6.1,
"De 30 a 34 años (005)",1055,3136,3002,135,95.7,4.3,
"De 35 a 39 años (006)",976,4019,3772,97,93.9,2.4,
"De 40 a 44 años (007)",860,4586,4251,54,92.7,1.2,
"De 45 a 49 años (008)",759,4559,4101,18,90,0.4,
"De 50 y más años (009)",2521,16490,13781,,83.6,,
"PEA (010)",2344,8294,7329,151,88.4,1.8,
"De 12 a 14 años (011)",52,,,,,,
"De 15 a 19 años (012)",151,47,46,12,97.9,25.5,
"De 20 a 24 años (013)",286,250,245,31,98,12.4,
"De 25 a 29 años (014)",329,515,496,31,96.3,6,
"De 30 a 34 años (015)",298,722,698,34,96.7,4.7,
"De 35 a 39 años (016)",275,997,932,22,93.5,2.2,
"De 40 a 44 años (017)",208,1007,933,19,92.7,1.9,
"De 45 a 49 años (018)",198,1117,990,2,88.6,0.2,
"De 50 y más años (019)",547,3639,2989,,82.1,,
"Ocupada (020)",2252,8208,7249,151,88.3,1.8,
"De 12 a 14 años (021)",46,,,,,,
"De 15 a 19 años (022)",131,46,45,12,97.8,26.1,
"De 20 a 24 años (023)",263,248,243,31,98,12.5,
"De 25 a 29 años (024)",310,505,487,31,96.4,6.1,
"De 30 a 34 años (025)",287,715,692,34,96.8,4.8,
"De 35 a 39 años (026)",273,991,927,22,93.5,2.2,
"De 40 a 44 años (027)",204,983,911,19,92.7,1.9,
"De 45 a 49 años (028)",197,1113,986,2,88.6,0.2,
"De 50 y más años (029)",541,3607,2958,,82,,
"Desocupada (030)",92,86,80,,93,,
"De 12 a 14 años (031)",6,,,,,,
"De 15 a 19 años (032)",20,1,1,,100,,
"De 20 a 24 años (033)",23,2,2,,100,,
"De 25 a 29 años (034)",19,10,9,,90,,
"De 30 a 34 años (035)",11,7,6,,85.7,,
"De 35 a 39 años (036)",2,6,5,,83.3,,
"De 40 a 44 años (037)",4,24,22,,91.7,,
"De 45 a 49 años (038)",1,4,4,,100,,
