"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia TAYACAJA (000)",30831,707,9788,10199,7741,2396
"Agric., ganadería, caza y silvicultura (001)",24040,592,7419,7636,6264,2129
"Pesca (002)",7,,6,1,,
"Explotación de minas y canteras (003)",39,,16,17,5,1
"Industrias manufactureras (004)",455,9,195,130,91,30
"Suministro de electricidad, gas y agua (005)",55,,10,19,26,
"Construcción (006)",507,2,173,195,127,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",1714,46,566,603,391,108
"Venta, mant.y rep. veh.autom.y motoc. (008)",78,1,36,20,17,4
"Comercio al por mayor (009)",96,,36,35,21,4
"Comercio al por menor (010)",1540,45,494,548,353,100
"Hoteles y restaurantes (011)",523,15,176,181,128,23
"Trans., almac. y comunicaciones (012)",464,3,233,149,74,5
"Intermediación financiera (013)",13,,7,4,2,
"Activid.inmobil., empres. y alquileres (014)",191,2,66,85,36,2
"Admin.pub. y defensa; p. segur.soc.afil (015)",490,,198,182,102,8
"Enseñanza (016)",1006,,206,556,242,2
"Servicios sociales y de salud (017)",269,,107,120,41,1
"Otras activ. serv.comun.soc y personales (018)",169,14,59,51,40,5
"Hogares privados con servicio doméstico (019)",241,12,122,60,35,12
"Actividad economica no especificada (021)",648,12,229,210,137,60
"Hombres (022)",21687,414,6729,7162,5579,1803
"Agric., ganadería, caza y silvicultura (023)",17923,347,5447,5764,4698,1667
"Pesca (024)",7,,6,1,,
"Explotación de minas y canteras (025)",38,,16,17,5,
"Industrias manufactureras (026)",327,7,133,89,75,23
"Suministro de electricidad, gas y agua (027)",52,,8,18,26,
"Construcción (028)",492,2,167,187,126,10
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",731,26,230,257,167,51
"Venta, mant.y rep. veh.autom.y motoc. (030)",70,1,31,19,15,4
"Comercio al por mayor (031)",61,,21,25,13,2
"Comercio al por menor (032)",600,25,178,213,139,45
"Hoteles y restaurantes (033)",95,6,32,29,20,8
"Trans., almac. y comunicaciones (034)",445,3,221,143,73,5
"Intermediación financiera (035)",6,,1,3,2,
"Activid.inmobil., empres. y alquileres (036)",155,,48,70,35,2
"Admin.pub. y defensa; p. segur.soc.afil (037)",377,,129,145,95,8
"Enseñanza (038)",534,,99,275,158,2
"Servicios sociales y de salud (039)",122,,39,56,26,1
"Otras activ. serv.comun.soc y personales (040)",98,12,38,21,23,4
